"trials.trials_id","trials.author","trials.title","trials.journal","trials.pub_year","trials.doi","trials.pmid","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
648,"CORONIS Collaborative Group","Caesarean section surgical techniques (CORONIS): a fractional, factorial, unmasked, randomised controlled trial","Lancet",2013,"10.1016/S0140-6736(13)60441-9",23721753,4,NA,5,5,3,NA,5,3,3
650,"van Dijk-de Vries. A,","Lessons learnt from a cluster-randomised trial evaluating the effectiveness of Self-Management Support (SMS) delivered by practice nurses in routine diabetes care","BMJ",2015,"10.1136/bmjopen-2014-007014",26112220,3,4,5,4,5,NA,4,5,3
651,"Price. D,","Leukotriene antagonists as first-line or add-on asthma-controller therapy","The New England Journal of Medicine",2011,"10.1056/NEJMoa1010846",21542741,5,5,5,NA,4,4,4,5,4
655,"Galdiz, J. B. ","Telerehabilitation Programme as a Maintenance Strategy for COPD Patients: A 12-Month Randomized Clinical Trial","Archivos de Bronconeumolog�a (Engl Ed).",2020,"10.1016/j.arbres.2020.03.034",32439253,3,NA,5,4,5,3,4,3,3
657,"Arntzen E.","Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.","Physical Therapy",2019,"10.1093/ptj/pzz017",NA,3,4,5,4,5,4,4,5,5
662,"Bogosian A.","Distress improves after mindfulness training for progressive MS: A pilot randomised trial","Multiple Sclerosis Journal",2015,"10.1177/1352458515576261",NA,5,4,5,4,3,NA,3,5,5
663,"Callesen J.","How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study","Multiple Sclerosis Journal",2020,"10.1177/1352458519865740",NA,4,4,5,5,5,5,4,5,3
664,"Carter A.","Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial","Multiple Sclerosis Journal",2014,"10.1177/1352458513519354",NA,3,4,4,5,5,3,4,5,4
665,"Cooper C.","Computerised cognitive behavioural therapy for the treatment of depression in people with multiple sclerosis: external pilot trial","Trials",2011,"10.1186/1745-6215-12-259",NA,4,4,5,5,5,4,4,5,4
666,"Cutter G.","Higher satisfaction and adherence with glatiramer acetate 40 mg/mL TIW vs 20 mg/mL QD in RRMS","Multiple Sclerosis and Related Disorders",2019,"10.1016/j.msard.2019.04.036",NA,4,NA,5,NA,NA,4,3,5,5
