Review title;Aikenhead;Al-Hozaim;Allen;Allin;Alzahem;Apelt;Aworanti;Baker;Berger;Berg;Billingham;Black;Borruto;Castagnetti;Castagnetti2;Chan;Chan2;Chang;Chen;Corbett;Cullis;Cundy;Cundy EJPS;Cundy 2;Dalen;Ding;Dingeman1;Dingeman2;Ells;Elyas;Esposito;Feng 1;Feng2;Friedmacher1;Friedmacher2;Frongia;Gallo;Gosemann;Graziano;Guo;Hall;Healy;Healy2;Heloury;Huang;Ishii1;Ishii2;Ito;Jia;Kapralik;Kunz;Landisch;Lane;Lansdale;Lee;Leevan;Liang;Lishuang;Livingston;Mauritz;Mauritz2;Mei;Mullassery;Nagler;Narayanan;Nasr;Nasr2;Nataraja;Nicolau;Oliviera;Oomen;Parolini;Parolini;Peters;Peycelon;Pfitsermuller;Puligandla;Reddy;Romao;Ross;Ruttenstock;Rynja;Saldana;Sauerland;Scholfield;Sharp;Shawyer;Shawyer2;Shen;Siddiqui;Siminas;Sklar;Sola;Symeonidis;Tan;Terui;Thomson;Thyoka;Vernon;Van den Hondel;Wang;Wayne;Weih;Wenk;Wilkinson;Wright;Yang;Yang2;Youssef;Zani;Zhao;Zhu
AMSTAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Was an 'a priori' design provided? The research question and inclusion criteria should be established before the conduct of the review. Note: Need to refer to a protocol, ethics approval, or pre-determined/a priori published research objectives to score a “yes.”;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
2. Was there duplicate study selection and data extraction? There should be at least two independent data extractors and a consensus procedure for disagreements should be in place. Note: 2 people do study selection, 2 people do data extraction, consensus process or one person checks the other’s work.;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0
"3. Was a comprehensive literature search performed? At least two electronic sources should be searched. The report must include years and databases used (e.g., Central, EMBASE, and MEDLINE). Key words and/or MESH terms must be stated and where feasible the search strategy should be provided. All searches should be supplemented by consulting current contents, reviews, textbooks, specialized registers, or experts in the particular field of study, and by reviewing the references in the studies found. Note: If at least 2 sources + one supplementary strategy used, select “yes” (Cochrane register/Central counts as 2 sources; a grey literature search counts as supplementary).";1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1
4. Was the status of publication (i.e. grey literature) used as an inclusion criterion? The authors should state that they searched for reports regardless of their publication type. The authors should state whether or not they excluded any reports (from the systematic review), based on their publication status, language etc. Note: If review indicates that there was a search for “grey literature” or “unpublished literature,” indicate “yes.” SIGLE database, dissertations, conference proceedings, and trial registries are all considered grey for this purpose. If searching a source that contains both grey and non-grey, must specify that they were searching for grey/unpublished lit.;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
5. Was a list of studies (included and excluded) provided? A list of included and excluded studies should be provided. Note: Acceptable if the excluded studies are referenced. If there is an electronic link to the list but the link is dead, select “no.”;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"6. Were the characteristics of the included studies provided? In an aggregated form such as a table, data from the original studies should be provided on the participants, interventions and outcomes. The ranges of characteristics in all the studies analyzed e.g., age, race, sex, relevant socioeconomic data, disease status, duration, severity, or other diseases should be reported. Note: Acceptable if not in table format as long as they are described as above. Paul ""Follow-up poorly reported in general""";1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;0;1;1;1;1;1;1;1;1;1
"7. Was the scientific quality of the included studies assessed and documented? 'A priori' methods of assessment should be provided (e.g., for effectiveness studies if the author(s) chose to include only randomized, double-blind, placebo controlled studies, or allocation concealment as inclusion criteria); for other types of studies alternative items will be relevant. Note: Can include use of a quality scoring tool or checklist, e.g., Jadad scale, risk of bias, sensitivity analysis, etc., or a description of quality items, with some kind of result for EACH study (“low” or “high” is fine, as long as it is clear which studies scored “low” and which scored “high”; a summary score/range for all studies is not acceptable).";0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;NA;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;NA;1;1;1;0;0;0;1;0;1;1;0;0;0
8. Was the scientific quality of the included studies used appropriately in formulating conclusions? The results of the methodological rigor and scientific quality should be considered in the analysis and the conclusions of the review, and explicitly stated in formulating recommendations. Note: Might say something such as “the results should be interpreted with caution due to poor quality of included studies.” Cannot score “yes” for this question if scored “no” for question 7.;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;NA;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;NA;1;1;1;0;0;0;1;0;1;1;0;0;0
9. Were the methods used to combine the findings of studies appropriate? For the pooled results, a test should be done to ensure the studies were combinable, to assess their homogeneity (i.e., Chi-squared test for homogeneity, I2 ). If heterogeneity exists a random effects model should be used and/or the clinical appropriateness of combining should be taken into consideration (i.e., is it sensible to combine?). Note: Indicate “yes” if they mention or describe heterogeneity, i.e., if they explain that they cannot pool because of heterogeneity/variability between interventions.;NA;NA;NA;1;1;NA;NA;1;NA;NA;1;1;0;NA;1;NA;1;1;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;1;1;1;0;NA;1;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;0;1;1;1;1;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;1;NA;NA;1;0;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
