"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"657",657,"Arntzen, Ellen Christin; Straume, Bjorn Kare; Odeh, Francis; Feys, Peter; Zanaboni, Paolo; Normann, Britt","10.1093/ptj/pzz017","Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.","Kinga",3,"excluding pregnant women ( not sure about excluding people with acute conditions compromising balance)","4","searching medical records ","4","patients were selected form only one hospital but it may be normal ( small country)","4","no increased number of healthcare workers but 5 days training, ","4","the physical therapist received booklet with descriptions and photos of all exercises and variations, as well as the theoretical framework for the intervention, but he chose from the available exercise to address each individuals impairments ","4","nothing about excluding because of missing observations, but one reminder was send to people who did not answer the invitation for the study (potentially excluding non-responders)","4","no collection of unusual data except pregnancy test","5","balance and trunk control","5","intention-to-treat with repeated-measure mixed model","PragMS"
"662",662,"Bogosian, A; Chadwick, P; Windgassen, S; Norton, S; McCrone, P; Mosweu, I; Silber, E; Moss-Morris, R","10.1177/1352458515576261","Distress improves after mindfulness training for progressive MS: A pilot randomised trial.","Lars",5,"NA","4","NA","5","NA","4","NA","5","NA","5","NA","3","interview, phone call","5","NA","5","NA","PragMS"
"1772",1772,"Calkwood, J.; Cree, B.; Crayton, H.; Kantor, D.; Steingo, B.; Barbato, L.; Hashmonay, R.; Agashivala, N.; McCague, K.; Tenenbaum, N.; Edwards, K.","10.1186/s12883-014-0220-1","Impact of a switch to fingolimod versus staying on glatiramer acetate or beta interferons on patient- and physician-reported outcomes in relapsing multiple sclerosis: post hoc analyses of the EPOC trial","Jacopo",3,"All patients had been treated with an iDMT for at least
6 months before screening andentered the study without an
intervening was hout period. In addition ,patients were
required to meet all of the following criteria: adults under
65 years of age with relapsing MS in accordance with the
2005 McDonald criteria (Polmanetal.,2005), an Expanded
Disability Status Scale (EDSS) score of 05.5 (Kurtzke,1983),
and treatment-naïve to fingolimod.
Key exclusion criteria were consistent with those
described in the phase3 fingolimod clinical trials (Cohen
Ja etal.,2010b, Kappos etal.,2010) and were as follows:
history of chronic disease of the immune system (except
MS), history of active malignancy (except localized basal/
squamous cell carcinoma of the skin), uncontrolled diabetes
mellitus (glycosylated hemoglobin 47%), macular edema
present at screening, active systemic bacterial, viral,or
fungal infection(s), pregnancy, and certain cardiovascular,
pulmonary, and hepatic conditions.","5","""Patients  must  have received a single, continuous MS DMT, excluding natali- zumab, for :::6 months before study initiation and be can- didates  for  a  change  in  therapy  (therapy  change  from natalizumab  to  fingolimod  will  be  assessed  in  a  separate study). Candidacy for therapy change was determined by the treating physician."" (cascione2013)","4","152 centers in the USA and 6 centers in Canada between August 2010 and August 2012. (fox2014) ""Study sites were selected based on historical participa- tion in other Novartis MS trials and in conjunction with a  feasibility  questionnaire  assessing  the  staff  experience with  MS  research.  Site  visits  were  made  to  ensure  that the  staff  was  experienced  with  the  MS  indication  and with  Good  Clinical  Practice/International  Conference on Harmonization guidelines. All sites received protocol
training."" (cascione2013)","NA","likely no difference from SOC","NA","likely no difference from SOC","NA","likely no difference from SOC","4","For the core study, visits occurred at screening, baseline, and weeks 1, 4, 12, and 24. Patients were considered to have completed the trial if they attended all study visits and completed all assessments. (fox2014)","5","The primary study objective was to evaluate changes in
treatment satisfaction between baseline and month 6,as
measured by the Global Satisfaction subscale score on the TSQM v1.4 (fox2014)","5","Analyses of primary and secondary outcomes were performed using the full analysis set, which comprised all randomized patients to whom study medication was assigned,
following the intent-to-treat principle.","PragMS"
"663",663,"Callesen, Jacob; Cattaneo, Davide; Brincks, John; Kjeldgaard Jorgensen, Marie-Louise; Dalgas, Ulrik","10.1177/1352458519865740","How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study.","Perrine",4,"downgrade bacause many but seem relevant","4","Through MS centers but also advertisement hence the downgrade","5","7 MS clinics","NA","no information on resources needed who does what","4","detialled framework but seems like adapted to each patient","5","measured but all included in analyses and no mitigation measured","NA","unclear when where outcomes measured","4","downgrade yes walking speed relevant but maybe not the most relevant","NA","NA","PragMS"
"664",664,"Carter, A; Daley, A; Humphreys, L; Snowdon, N; Woodroofe, N; Petty, J; Roalfe, A; Tosh, J; Sharrack, B; Saxton, J M","10.1177/1352458513519354","Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial.","Vy",3,"18-65 y/o

comorbid conditions impairing the ability to be physically active three times per week <- for ease of study? Qualify to lower the rating?

exclude patients > 20 mi from clinic","4","recruited via the Sheffield MS Clinic and flyers/community 
adverts displayed at the local South Yorkshire MS Society branches <- not via referrals from physicians","4","at a university exercise reseach facility","5","only physiologist and physiotherapist involved in exerise supervision","5","week 1-6: 2x/week supervised

week 7-12: 1x/week supervised","NA","no measure of adherence mentioned

""Details of 
supervised and home-exercise sessions were recorded in an exercise log"" <- measure of adherence? ","5","""at three months (post-intervention) and nine 
months after randomisation""

infrequent

""Daily movement and step 
counts were objectively assessed using an accelerometer...daily step count over a seven-day period were recorded."" <- no mention of when or how this data are collected","5","primary outcome: exercise behavior, the frequency of strenuous, moderate and mild intensity exercise for periods >15 minutes over the past seven days","5","all analyses ITT irrespective of whether they complied with 
the intervention","PragMS"
"665",665,"Cooper, Cindy L; Hind, Daniel; Parry, Glenys D; Isaac, Claire L; Dimairo, Munyaradzi; O'Cathain, Alicia; Rose, Anita; Freeman, Jennifer V; Martin, Leonie; Kaltenthaler, Eva C; Thake, Anna; Sharrack, Basil","10.1186/1745-6215-12-259","Computerised cognitive behavioural therapy for the treatment of depression in people with multiple sclerosis: external pilot trial.","Vy",4,"""Our threshold for ineligibility was intended to exclude those who were restricted to bed for much of the day and had only limited use of their arms, thus effectively precluding use of a computer mouse and keyboard."" Unsure if this is a justifiable exclusion","4","multiple sources to recruit participants, ""Sheffield clinic, n=288; Liverpool mailout, n=250; Sheffield neuropsychologist mailout n=40; Sheffield MS nurses, n=4"" <- a bit of effort involved","5","the intervention was conducted at home","5","seems like no extra staff/specialists/services are required or needed to deliver the intervention; providing access to CCBT and technical advice is the norm","5","""Although four out of five participating PCTs were happy to arrange alternative provision for those who did not have Internet access at home, all our participants requested home use of CCBT""","NA","""A client service receipt inventory was used at baseline, 8 weeks and 21 weeks to identify [] service use in both arms"" <- is this adherence monitoring? No information on adherence being measured","4","not too many follow-ups; the periods between follow-ups are short","2","""The pre-specified primary outcome was the recruitment rate"" <- not related to patients","3","""Primary analysis was an Intention To Treat (ITT) analy sis which analysed all 24 participants according to their randomised treatment assignment ignoring non compli ance, protocol deviations and withdrawal""; ""last observation carried for ward was used to impute the few missing items""; attrition in usual care is 33% and in treatment 17%","PragMS"
"666",666,"Cutter, Gary; Veneziano, Antonella; Grinspan, Augusto; Al-Banna, Mahir; Boyko, Alexey; Zakharova, Maria; Maida, Eva; Pasic, Marija Bosnjak; Gandhi, Sanjay K; Everts, Robin; Cordioli, Cinzia; Rossi, Silvia","10.1016/j.msard.2019.04.036","Higher satisfaction and adherence with glatiramer acetate 40mg/mL TIW vs 20mg/mL QD in RRMS.","Perrine",4,"downgrade because many  exclusion due to concomittant treatment but might be relevant","NA","NA","5","88 study centers in 14 countries","NA","NA","NA","NA","4","downgrade because measure it through diairy but do not seem to mitigate it","3","intense follow up which deviates from usual care","5","overall satisfaction with the medication","4","less than 10% missing data and ITT but no mention of imputation methods ","PragMS"
"668",668,"Dodd, K J; Taylor, N F; Shields, N; Prasad, D; McDonald, E; Gillon, A","10.1177/1352458511409084","Progressive resistance training did not improve walking but can improve muscle performance, quality of life and fatigue in adults with multiple sclerosis: a randomized controlled trial.","Vy",3,"longer list of exclusion criteria: ""benign types of MS, any concurrent condition (e.g. stroke), had participated in a PRT program in the 6 months before training started""","3","need to be on the mailing list of 2 organizations (i.e. statewide organization and outpatient clinic) since recruitment was done via mail","5","study was carried out at community gyms; does not seem to be out of the ordinary","5","a group of 12 participants supervised by up to 3 experienced trainers","5","delivered at 4 community gyms; seems like the ordinary place for usual care","NA","no mention of such, except that participants "" had
a logbook detailing each exercise, the weight lifted, the number of repetitions, and the number of sets com pleted. This was filled in at the end of each session.""","4","infrequent follow-up: at
baseline, after 10 weeks to determine the immedi ate effects of the intervention, and after a further
12 weeks (week 22)","4","2 primary outcomes: walking speed and walking endurance; 

question: how does walking speed an important relevant outcome to patients? Wouldn't muscle strength be an important one?","5","ITT was applied","PragMS"
"669",669,"Feys, Peter; Moumdjian, Lousin; Van Halewyck, Florian; Wens, Inez; Eijnde, Bert O; Van Wijmeersch, Bart; Popescu, Veronica; Van Asch, Paul","10.1177/1352458517740211","Effects of an individual 12-week community-located ""start-to-run"" program on physical capacity, walking, fatigue, cognitive function, brain volumes, and structures in persons with multiple sclerosis.","Perrine",3,"Not many eligibility criteria but do limit to patients who want to participate in the race, authors themselves questioned generalizability ""As such, one may not generalize the presented methodology and effects to the whole population of pwMS."" Unclear if want to apply it to all midl pwMS or only those who are runners","4","recruitment at centers where MS patients receive their usual care but also target those who want to participate in race","3","trial done mostly remotely apart from two in person training sessions but unclear if this would be part of the usual care of such intervention","2","many observers unlikely to be the case in usual care","5","""They were asked to train three times weekly according to a personalized training intensity schedule that was based on their baseline aerobic capacity.""","2","monitored through wearable and phone call when inactive plus in person sessions to monitored progress","1","way too many explanatory measurements that deviates from usual care","3","Multple primary outcomes with some not patient centered eg. Aerobic capacity but other were patient centered eg. Quality of life","3","more than 10% missing data and no imputation method","PragMS"
"670",670,"Finch, Paul; Bessonnette, Susan","10.1016/j.jbmt.2013.04.001","A pragmatic investigation into the effects of massage therapy on the self efficacy of multiple sclerosis clients.","Perrine",5,"extremelly wide ""The inclusion criterion for the study was a diagnosis of multiple sclerosis""","5","recruited through MS clinic","3","only one center and academic center, risk of being highly specialized","NA","NA","5","""it was incumbent on the therapists to construct individualized treatment plans recognizing the importance of the clients physical, psychological and emotional needs.""","NA","no info","NA","know the time point but no info on how it is collected, in person visits or by mail","5","Multiple Sclerosis Self-Efficacy (MSSE) survey","5","ITT and seems to be no missing data","PragMS"
