"Reference","Review title","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
61,"Aikenhead",0,0,1,1,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,NA,0,NA,1,1,0,0,NA,0,NA,1,1,1,1
62,"Al-Hozaim",0,0,1,0,0,1,0,0,NA,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,NA,0,NA,0,1,0,0,NA,0,NA,0,1,1,0
63,"Allen",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,NA,0,NA,0,1,0,1,NA,0,NA,1,1,1,0
64,"Allin",1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
65,"Alzahem",0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
66,"Apelt",0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,NA,0,NA,1,1,0,1,NA,0,NA,1,0,1,0
67,"Aworanti",0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,NA,0,NA,0,1,0,0,NA,0,NA,1,0,1,0
68,"Baker",0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
69,"Berger",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,NA,0,NA,0,1,0,0,NA,0,NA,0,0,0,0
70,"Billingham",0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0
71,"Black",0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,0,NA,1,1,1,0
72,"Borruto",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,NA,0,1,0,1,0,0,NA,1,0,1,0
73,"Castagnetti",0,1,0,0,0,0,1,1,NA,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,NA,1,NA,0,0,0,1,NA,0,NA,0,0,1,0
75,"Chan",0,0,1,0,0,1,1,1,NA,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,NA,0,NA,1,1,0,1,NA,0,NA,1,1,1,0
76,"Chan2",0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,0
77,"Chang",0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,1,1,0,1,1,0,NA,0,0,1,1
78,"Chen",0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,NA,1,1,0,1,1,0,NA,1,1,1,0
79,"Corbett",0,1,0,0,0,1,0,0,NA,0,0,1,1,1,1,0,1,1,0,1,1,0,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,0,1,1,1
82,"Cundy",1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
83,"Cundy 1",1,0,1,1,0,1,0,1,NA,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,NA,0,1,1,1,0,1,NA,0,NA,1,0,1,0
81,"Cundy 2",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
157,"Dalen",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,1,1,1
84,"Ding",0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1
86,"Dingeman1",0,0,0,0,0,1,1,1,NA,0,0,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,0,1,0,NA,NA,0,NA,1,0,1,0
85,"Dingeman2",0,0,0,0,0,1,1,1,NA,0,0,1,0,1,1,0,0,1,0,1,0,0,0,NA,NA,0,NA,0,1,0,NA,NA,0,NA,1,0,1,0
87,"Ells",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,1,NA,1,1,1,0
88,"Elyas",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,0
89,"Esposito",0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,NA,0,NA,1,1,0,0,NA,0,NA,0,0,0,0
91,"Feng 1",0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,NA,0,0,1,0
90,"Feng2",0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,NA,1,1,1,0
93,"Friedmacher1",0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0
92,"Friedmacher2",0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
94,"Frongia",0,0,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,0,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
95,"Gallo",0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,NA,1,1,0,0,0,0,NA,1,0,1,0
96,"Gosemann",0,0,0,0,0,1,0,0,NA,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,NA,0,NA,1,1,0,1,NA,0,NA,0,0,1,1
97,"Graziano",0,1,1,0,0,0,1,1,NA,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,1,1,1,0
98,"Guo",0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
99,"Hall",0,0,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,0,0,0,1,0,1,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
100,"Healy",0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
102,"Heloury",0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0
103,"Huang1",0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
105,"Ishii1",0,0,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
104,"Ishii2",0,0,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,0,1,0,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,1
106,"Ito",0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1
107,"Jia",0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,1,1,1,1,1,0,NA,1,0,1,1
109,"Kunz",0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
110,"Landisch",0,1,0,0,0,1,0,0,NA,0,0,1,0,1,1,0,1,1,0,1,1,1,0,NA,NA,0,NA,1,1,0,NA,NA,0,NA,1,1,1,0
111,"Lane",0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,0,0
112,"Lansdale",0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1
113,"Lee",0,0,0,0,0,0,1,1,NA,0,0,1,0,1,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA,1,0,1,0
115,"Liang",0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,0,0,1,0
116,"Lishuang",0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,0,1,0
117,"Livingston",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
118,"Mauritz",0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
119,"Mauritz2",0,1,0,0,0,1,1,1,NA,1,0,1,0,1,1,0,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,0,1,0
120,"Mei",0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,NA,1,1,0,1,1,1,NA,1,0,1,1
121,"Mullassery",1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,NA,1,1,1,0
122,"Nagler",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,"Narayanan",0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,NA,0,1,0,1,1,0,NA,1,0,1,0
