publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,If participants failed to return outcome questionnaires they were telephoned once to remind them.,fulltext,If participants failed to return outcome questionnaires they were telephoned once to remind them.,100.0
1528,PRECIS-2,"The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization, but costs at four months follow-up were also recorded.",fulltext,"The main analysis evaluated the total costs of the intervention, resource use and medication at eight months after randomization, but costs at four months follow-up were also recorded.",100.0
1528,PRECIS-2,"Those who were not able to complete the outcome measures, such as people with visual problems, were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",fulltext,"Those who were not able to complete the outcome measures, such as people with visual problems, were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",100.0
1528,PRECIS-2,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12, 7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, 8 thus confirming they had low mood.",100.0
1528,PRECIS-2,The EQ-5D was included as a generic quality of life measure.,fulltext,The EQ-5D 9 was included as a generic quality of life measure.,100.0
1528,PRECIS-2,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,PRECIS-2,"In the intervention group, there was an overall reduction in resource use from baseline to eight months follow-up of £30,985 (mean per patient reduction of £429).",fulltext,"In the intervention group, there was an overall reduction in resource use from baseline to eight months follow-up of £30,985 (mean per patient reduction of £429).",100.0
1528,PRECIS-2,"To ascertain costs, a questionnaire was used to assess the use of NHS services and prescribed medication in the previous three months.",fulltext,"To ascertain costs, a questionnaire was used to assess the use of NHS services and prescribed medication in the previous three months.",100.0
1528,PRECIS-2,"Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group.",fulltext,"Clusters of eight participants, who could attend groups on the same day, were randomly allocated, using a web-based randomization programme prepared in advance by the Clinical Trials Unit at Nottingham University, to an intervention or control group.",100.0
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
