"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.252430725622401,0.13644387983265,0.352457378854514,0.44578313253012,0.38911113535852,0.501929391488127,0.505952380952381,0.444444444444444,0.567409910573799
"Eligibility",0.00928792569659442,NA,NA,0.428571428571429,NA,NA,0.375,NA,NA
"Recruitment",0.429598562013182,NA,NA,0.48,NA,NA,0.553571428571429,NA,NA
"Setting",0.157894736842105,NA,NA,0.333333333333333,NA,NA,0.625,NA,NA
"Organization",0.0402886349969932,NA,NA,0.3,NA,NA,0.642857142857143,NA,NA
"Flex. delivery",0.369091354396277,NA,NA,0.428571428571429,NA,NA,0.5,NA,NA
"Flex. adherence",0.343108504398827,NA,NA,0.625,NA,NA,0.571428571428571,NA,NA
"Follow-up",0.0145371078806427,NA,NA,0.346153846153846,NA,NA,0.535714285714286,NA,NA
"Outcome",-0.221117061973986,NA,NA,0.647058823529412,NA,NA,0.392857142857143,NA,NA
"Analysis",0.216858237547893,NA,NA,0.361111111111111,NA,NA,0.357142857142857,NA,NA
