"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.127152803224624,0.038965417543615,0.210396367496518,0.279761904761905,0.234177391013503,0.327380952380952,0,0,0
"Eligibility",0.0118577075098812,NA,NA,0.178571428571429,NA,NA,0,NA,NA
"Recruitment",0.0863849765258214,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Setting",0.151714419915453,NA,NA,0.196428571428571,NA,NA,0,NA,NA
"Organization",0.0750750750750749,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.125625063782019,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.159930572774609,NA,NA,0.339285714285714,NA,NA,0,NA,NA
"Follow-up",0.0266512166859791,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Outcome",-0.0435217608804404,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Analysis",0.19951951951952,NA,NA,0.321428571428571,NA,NA,0,NA,NA
