"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.705566241104707,0.626286782180448,0.768733273497321,0.761904761904762,0.710367867203979,0.80952380952381,0,0,0
"Eligibility",0.924242424242424,NA,NA,0.910714285714286,NA,NA,0,NA,NA
"Recruitment",0.767841279241931,NA,NA,0.75,NA,NA,0,NA,NA
"Setting",0.715924128804588,NA,NA,0.75,NA,NA,0,NA,NA
"Organization",0.787153173698214,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"Flex. delivery",0.53595295375568,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Flex. adherence",0.450980392156863,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"Follow-up",0.548488241881299,NA,NA,0.678571428571429,NA,NA,0,NA,NA
"Outcome",0.711009174311927,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"Analysis",0.418559377027904,NA,NA,0.714285714285714,NA,NA,0,NA,NA
