"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.721636116225086,0.654160599141486,0.776916132579274,0.694444444444444,0.636955168791281,0.75,0,0,0
"Eligibility",0.924865831842576,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"Recruitment",0.774913374913375,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"Setting",0.689252336448598,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Organization",0.814298978644383,NA,NA,0.767857142857143,NA,NA,0,NA,NA
"Flex. delivery",0.591685711176407,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.493785310734463,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Follow-up",0.561582552775059,NA,NA,0.625,NA,NA,0,NA,NA
"Outcome",0.745619727449708,NA,NA,0.660714285714286,NA,NA,0,NA,NA
"Analysis",0.407591785936528,NA,NA,0.642857142857143,NA,NA,0,NA,NA
