"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","deferred","4","5","deferred","3","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","5","4","5","deferred"
"1570","2","NA","deferred","deferred","2","deferred","deferred","4","NA"
"1769","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","2","NA","deferred","NA","2","deferred","2","deferred","NA"
"1771","deferred","4","4","deferred","2","NA","deferred","deferred","deferred"
"1772","4","deferred","NA","NA","NA","NA","deferred","5","5"
"1773","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"648","4","deferred","deferred","deferred","deferred","deferred","4","5","5"
"650","deferred","deferred","deferred","4","4","deferred","4","5","deferred"
"651","deferred","deferred","deferred","5","deferred","5","deferred","deferred","5"
"655","deferred","4","4","deferred","deferred","deferred","deferred","deferred","deferred"
"657","4","3","deferred","4","deferred","5","deferred","deferred","5"
"662","3","deferred","deferred","deferred","deferred","deferred","3","4","deferred"
"663","deferred","deferred","4","deferred","deferred","deferred","4","5","deferred"
"664","deferred","3","2","deferred","deferred","5","3","5","5"
"665","3","3","deferred","deferred","deferred","deferred","3","deferred","deferred"
"666","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"668","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"670","5","5","5","5","5","deferred","deferred","5","5"
"671","3","5","5","deferred","deferred","deferred","deferred","5","4"
"673","4","4","5","deferred","deferred","deferred","deferred","deferred","NA"
"674","deferred","NA","deferred","NA","NA","NA","deferred","deferred","NA"
"675","deferred","deferred","2","deferred","2","deferred","3","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","deferred","2","deferred","deferred"
"678","deferred","deferred","deferred","deferred","4","deferred","2","deferred","5"
"679","deferred","3","deferred","2","deferred","deferred","3","deferred","5"
"680","deferred","deferred","deferred","3","deferred","deferred","deferred","5","5"
"681","deferred","deferred","deferred","deferred","5","5","deferred","deferred","5"
"682","4","3","deferred","deferred","deferred","4","deferred","5","deferred"
"684","deferred","deferred","5","5","deferred","5","deferred","5","NA"
"685","5","deferred","deferred","deferred","5","deferred","deferred","deferred","NA"
"686","3","NA","2","deferred","2","NA","deferred","deferred","deferred"
"687","3","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"688","2","2","2","deferred","deferred","NA","deferred","4","deferred"
"689","deferred","deferred","deferred","deferred","4","deferred","deferred","4","deferred"
"690","deferred","deferred","deferred","deferred","deferred","NA","2","deferred","5"
"691","deferred","deferred","4","4","deferred","deferred","4","deferred","deferred"
"692","4","deferred","4","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","2","deferred","NA","NA","2","deferred","NA"
"694","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"695","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"696","deferred","NA","deferred","NA","NA","NA","2","deferred","NA"
"697","3","deferred","deferred","4","deferred","5","4","5","5"
"705","4","deferred","5","deferred","deferred","deferred","4","5","5"
"712","deferred","deferred","deferred","NA","NA","NA","4","5","NA"
"713","4","deferred","deferred","NA","5","NA","4","5","NA"
"714","4","deferred","5","5","5","deferred","deferred","5","NA"
"715","4","deferred","5","deferred","deferred","NA","3","deferred","5"
"722","deferred","4","4","5","deferred","deferred","deferred","deferred","deferred"
"725","deferred","deferred","deferred","4","deferred","deferred","deferred","5","5"
"733","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
