publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,fulltext,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,100.0
1528,PRECIS-2,"Participants were included who scored >2 on the General Health Questionnaire 12, a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, thus confirming they had low mood.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12, 7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale, 8 thus confirming they had low mood.",100.0
1528,PRECIS-2,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,fulltext,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,100.0
1528,PRECIS-2,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,PRECIS-2,"Effectiveness was initially defined as the change in EQ-5D scores and a cost-effectiveness analysis was performed using this outcome measure. In addition, reductions in the BDI-II score from baseline to follow-up were analysed as an alternative measure of the cost effectiveness.",fulltext,"Effectiveness was initially defined as the change in EQ-5D scores and a cost-effectiveness analysis was performed using this outcome measure. In addition, reductions in the BDI-II score from baseline to follow-up were analysed as an alternative measure of the cost effectiveness.",100.0
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1529,PRECIS-2,This study was conducted in 2015e2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,fulltext,This clinical trial was conducted in 2015e2016 and registered as IRCT2014112420064N1 in the Iranian Register of Clinical Trials. The study population consists the patients referring to the Multiple Sclerosis Society of Isfahan.,98.1651376146789
1529,PRECIS-2,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",fulltext,"To investigate depression, anxiety, and stress, DASS-21, developed by Lovibond and Lovibond in 1995, was used and its validity and reliability were confirmed [17]. To measure fatigue, the Piper Standard Scale was used.",100.0
1529,PRECIS-2,"To assess the reliability of the instruments used in this study, split-half reliability was used. Pearson's correlation coefficient was estimated to be 0.79 and 0.89 for the half of the DASS-21 and the Piper Standard Scale, respectively.",fulltext,"To assess the reliability of the instruments used in this study, split-half reliability was used. Pearson's correlation coefficient was estimated to be 0.79 and 0.89 for the half of the DASS-21 and the Piper Standard Scale, respectively.",100.0
1529,PRECIS-2,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",fulltext,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",100.0
