"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.120644824324897,0.0371889672982286,0.196980435435809,0.275793650793651,0.236111111111111,0.317460317460317,0,0,0
"Eligibility",-0.0262172284644193,NA,NA,0.107142857142857,NA,NA,0,NA,NA
"Recruitment",0.124798896805332,NA,NA,0.25,NA,NA,0,NA,NA
"Setting",0.17922345075855,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Organization",0.0556356298645143,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Flex. delivery",0.0715987980520152,NA,NA,0.25,NA,NA,0,NA,NA
"Flex. adherence",0.100719424460431,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Follow-up",0.0117272002732551,NA,NA,0.196428571428571,NA,NA,0,NA,NA
"Outcome",0.0386539336061845,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Analysis",0.0566308243727598,NA,NA,0.285714285714286,NA,NA,0,NA,NA
