publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,"The BDI-II was evaluated as an alternative indicator of the effectiveness of the intervention. A Levene's test for equality showed a statistically significant difference (p=0.01) in the point reduction in the BDI between the intervention and control group over eight months (intervention mean −2.38 SD 4.72, control mean −0.67 SD 3.44, mean difference −1.70, 95% confidence interval −3, −0.4).",fulltext,"The BDI-II was evaluated as an alternative indicator of the effectiveness of the intervention. A Levene’s test for equality showed a statistically significant difference (p=0.01) in the point reduction in the BDI between the intervention and control group over eight months (intervention mean −2.38 SD 4.72, control mean −0.67 SD 3.44, mean difference −1.70, 95% confidence interval −3, −0.4).",100.0
1528,PRECIS-2,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",fulltext,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,PRECIS-2,"Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.",fulltext,"Participants randomly allocated to the adjustment group received six group treatment sessions. The control group received usual care, which did not include psychological interventions.",100.0
1528,PRECIS-2,Participants: People with multiple sclerosis presenting with low mood between June 2008 and September 2009.,fulltext,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,86.91588785046729
1528,PRECIS-2,Participants randomly allocated to the adjustment group received six group treatment sessions.,fulltext,Participants randomly allocated to the adjustment group received six group treatment sessions.,100.0
1528,PRECIS-2,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,fulltext,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,100.0
1528,PRECIS-2,The details of this study have been published elsewhere.,fulltext,The details of this study have been published elsewhere.,100.0
1528,PRECIS-2,"Four and eight months after randomization, participants were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",fulltext," were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",67.83625730994152
1529,PRECIS-2,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",fulltext,"Because the patients were not hospitalized and regularly referred to the Association, to follow randomized assignment, we decided to run the sampling within two consecutive months until we enrolled an adequate number of participants.",100.0
1529,PRECIS-2,"The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization–the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the fourth session); the technique of increasing social relationships, the technique of expressing emotions, the technique of laughing (the fifth session).",fulltext,"The intervention consisted of: defining depression, stress, anxiety, and their symptoms, defining happiness, and explaining its necessity, reviewing the results of previous studies on happiness (the first session); the technique of increasing physical activity, the technique of being productive, and doing useful and meaningful things (the second session); the principles of planning and better organization–the technique of removing concerns, the technique of reducing expectations and wishes (the third session); the technique of enhancing creativity, the technique of living at present (the F. Khayeri et al. / Complementary Therapies in Clinical Practice 25 (2016) 130e135 131 fourth session; the technique of increasing social relationships, the technique of being the real self (the fifth session). The technique of increasing intimacy as the ",96.24664879356568
