"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.109935292072086,0.0179672197451989,0.201043824471926,0.490445859872611,0.430341552889086,0.550625357425213,0.376984126984127,0.323412698412698,0.428571428571429
"Eligibility",-0.141486810551559,NA,NA,0.488372093023256,NA,NA,0.232142857142857,NA,NA
"Recruitment",0.145888594164456,NA,NA,0.555555555555556,NA,NA,0.196428571428571,NA,NA
"Setting",0.118110236220472,NA,NA,0.657142857142857,NA,NA,0.375,NA,NA
"Organization",-0.00121212121212144,NA,NA,0.161290322580645,NA,NA,0.446428571428571,NA,NA
"Flex. delivery",0.111551809618245,NA,NA,0.233333333333333,NA,NA,0.464285714285714,NA,NA
"Flex. adherence",0.443708609271523,NA,NA,0.763157894736842,NA,NA,0.321428571428571,NA,NA
"Follow-up",0.0452572845629262,NA,NA,0.3125,NA,NA,0.428571428571429,NA,NA
"Outcome",0.232876712328767,NA,NA,0.620689655172414,NA,NA,0.482142857142857,NA,NA
"Analysis",0.15929941618015,NA,NA,0.516129032258065,NA,NA,0.446428571428571,NA,NA
