"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.20449523328493,0.145800089287539,0.267925672596833,0.275793650793651,0.246031746031746,0.305555555555556,0,0,0
"Eligibility",-0.0728862973760933,NA,NA,0.339285714285714,NA,NA,0,NA,NA
"Recruitment",0.253333333333333,NA,NA,0.339285714285714,NA,NA,0,NA,NA
"Setting",0.0632791541738994,NA,NA,0.267857142857143,NA,NA,0,NA,NA
"Organization",0.0408624587028343,NA,NA,0.107142857142857,NA,NA,0,NA,NA
"Flex. delivery",0.137775418104592,NA,NA,0.142857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.459244532803181,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Follow-up",0.167926220058921,NA,NA,0.196428571428571,NA,NA,0,NA,NA
"Outcome",0.146836912362159,NA,NA,0.178571428571429,NA,NA,0,NA,NA
"Analysis",0.105555555555556,NA,NA,0.321428571428571,NA,NA,0,NA,NA
