"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","NA","deferred","2","NA","NA","deferred","deferred","deferred"
"1529","2","NA","NA","2","2","NA","3","deferred","NA"
"1567","4","3","deferred","3","deferred","NA","deferred","3","4"
"1568","3","4","NA","2","2","deferred","2","deferred","5"
"1569","4","NA","3","deferred","deferred","3","2","4","deferred"
"1570","3","5","NA","deferred","deferred","deferred","4","5","5"
"1769","deferred","NA","deferred","NA","3","NA","deferred","deferred","3"
"1770","2","NA","4","NA","deferred","NA","2","3","deferred"
"1771","3","3","NA","2","2","NA","deferred","deferred","deferred"
"1772","deferred","NA","NA","NA","3","NA","deferred","deferred","4"
"1773","4","3","5","4","deferred","deferred","2","3","5"
"648","4","4","4","deferred","deferred","NA","deferred","deferred","deferred"
"650","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","5","deferred","deferred","4"
"655","4","4","5","deferred","deferred","3","deferred","4","5"
"657","deferred","deferred","deferred","3","3","deferred","2","4","4"
"662","3","3","4","deferred","deferred","NA","2","deferred","5"
"663","deferred","deferred","deferred","deferred","deferred","NA","3","deferred","5"
"664","3","4","3","2","3","deferred","2","deferred","4"
"665","deferred","3","deferred","deferred","deferred","deferred","deferred","2","deferred"
"666","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","5"
"668","4","5","5","4","deferred","deferred","3","4","deferred"
"669","4","5","NA","3","3","deferred","deferred","3","NA"
"670","4","4","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"671","deferred","4","5","4","4","4","3","deferred","4"
"673","3","4","5","deferred","deferred","NA","2","deferred","4"
"674","4","NA","3","2","NA","NA","2","4","3"
"675","3","NA","NA","2","2","deferred","3","4","5"
"677","4","deferred","5","deferred","4","NA","4","5","deferred"
"678","4","5","3","2","NA","NA","2","3","4"
"679","4","deferred","deferred","2","deferred","NA","2","4","3"
"680","3","deferred","deferred","2","deferred","NA","deferred","deferred","deferred"
"681","4","4","5","deferred","3","deferred","3","4","deferred"
"682","2","3","5","2","3","3","2","2","deferred"
"684","3","3","5","deferred","3","NA","deferred","deferred","4"
"685","4","4","deferred","4","3","NA","deferred","deferred","deferred"
"686","3","5","deferred","deferred","NA","NA","3","4","deferred"
"687","4","5","5","3","deferred","deferred","deferred","5","NA"
"688","4","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"689","3","NA","4","NA","3","deferred","deferred","deferred","deferred"
"690","deferred","NA","deferred","2","deferred","NA","deferred","deferred","4"
"691","4","deferred","deferred","deferred","3","NA","4","4","deferred"
"692","3","5","5","3","3","4","4","4","NA"
"693","3","NA","NA","NA","2","NA","2","3","4"
"694","3","NA","deferred","deferred","deferred","deferred","2","deferred","3"
"695","4","5","5","deferred","deferred","NA","4","5","deferred"
"696","3","4","deferred","deferred","deferred","NA","3","deferred","4"
"697","4","4","5","3","3","deferred","2","4","5"
"705","3","4","deferred","2","deferred","deferred","deferred","deferred","deferred"
"712","4","5","deferred","deferred","2","NA","deferred","deferred","deferred"
"713","deferred","5","3","2","deferred","NA","deferred","deferred","deferred"
"714","4","4","5","deferred","5","NA","4","4","deferred"
"715","deferred","4","5","deferred","4","NA","4","5","deferred"
"722","4","deferred","deferred","deferred","4","4","deferred","4","4"
"725","deferred","deferred","5","4","deferred","NA","3","4","4"
"733","3","4","5","3","3","deferred","3","4","deferred"
