"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.179611749256946,0.115312017709497,0.246922502224596,0.303571428571429,0.267857142857143,0.343253968253968,0,0,0
"Eligibility",-0.12568306010929,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Recruitment",0.214383001906837,NA,NA,0.410714285714286,NA,NA,0,NA,NA
"Setting",0.0943396226415094,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Organization",0.100116867939229,NA,NA,0.178571428571429,NA,NA,0,NA,NA
"Flex. delivery",-0.0163241789898216,NA,NA,0.178571428571429,NA,NA,0,NA,NA
"Flex. adherence",0.425923325375649,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Follow-up",0.0674775557486244,NA,NA,0.214285714285714,NA,NA,0,NA,NA
"Outcome",0.217564870259481,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Analysis",0.0706047819971871,NA,NA,0.267857142857143,NA,NA,0,NA,NA
