"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.68006993006993,0.523668878039433,0.800870751894069,0.634920634920635,0.516074643419091,0.746031746031746,0,0,0
"Eligibility",0.714285714285714,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"Recruitment",0.535911602209945,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Setting",0.554140127388535,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Organization",0.481481481481482,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Flex. delivery",0.686567164179104,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Flex. adherence",0.315217391304348,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"Follow-up",0.148648648648649,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Outcome",-0.0769230769230771,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"Analysis",0.0344827586206896,NA,NA,0.785714285714286,NA,NA,0,NA,NA
