"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.597151226236287,0.460109260747326,0.720379751227134,0.563492063492063,0.444444444444444,0.658730158730159,0,0,0
"Eligibility",0.78328173374613,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"Recruitment",0.556435643564356,NA,NA,0.5,NA,NA,0,NA,NA
"Setting",0.6,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Organization",0.222222222222222,NA,NA,0.428571428571429,NA,NA,0,NA,NA
"Flex. delivery",0.408450704225352,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Flex. adherence",0.0848056537102473,NA,NA,0.285714285714286,NA,NA,0,NA,NA
"Follow-up",0.0381679389312977,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"Outcome",-0.0266666666666666,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Analysis",0.0344827586206896,NA,NA,0.571428571428571,NA,NA,0,NA,NA
