"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.7007224623099,0.556210009643826,0.820276910384249,0.748299319727891,0.659581822281316,0.827808767967389,0.708333333333333,0.666666666666667,0.748015873015873
"Eligibility",0.647244094488189,NA,NA,0.692307692307692,NA,NA,0.767857142857143,NA,NA
"Recruitment",0.727567567567568,NA,NA,0.8,NA,NA,0.732142857142857,NA,NA
"Setting",0.459807073954984,NA,NA,0.85,NA,NA,0.642857142857143,NA,NA
"Organization",0.605633802816901,NA,NA,0.583333333333333,NA,NA,0.785714285714286,NA,NA
"Flex. delivery",0.811023622047244,NA,NA,0.5,NA,NA,0.785714285714286,NA,NA
"Flex. adherence",0.522953147184098,NA,NA,0.647058823529412,NA,NA,0.696428571428571,NA,NA
"Follow-up",-0.14519427402863,NA,NA,0.8,NA,NA,0.821428571428571,NA,NA
"Outcome",0.754520547945206,NA,NA,0.92,NA,NA,0.553571428571429,NA,NA
"Analysis",0.68,NA,NA,0.739130434782609,NA,NA,0.589285714285714,NA,NA
