"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.716567315262625,0.601740502240938,0.820768095457265,0.847560975609756,0.775179674828453,0.906826229080075,0.674603174603175,0.627034533870646,0.718253968253968
"Eligibility",0.186046511627907,NA,NA,0.722222222222222,NA,NA,0.678571428571429,NA,NA
"Recruitment",0.665671641791045,NA,NA,0.789473684210526,NA,NA,0.660714285714286,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.696428571428571,NA,NA
"Organization",0.666666666666667,NA,NA,0.846153846153846,NA,NA,0.767857142857143,NA,NA
"Flex. delivery",0.777335984095427,NA,NA,0.846153846153846,NA,NA,0.767857142857143,NA,NA
"Flex. adherence",0.802816901408451,NA,NA,0.875,NA,NA,0.714285714285714,NA,NA
"Follow-up",0.60377358490566,NA,NA,0.833333333333333,NA,NA,0.678571428571429,NA,NA
"Outcome",0.705263157894737,NA,NA,0.9,NA,NA,0.464285714285714,NA,NA
"Analysis",0.721393034825871,NA,NA,0.8,NA,NA,0.642857142857143,NA,NA
