"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.562019169329073,0.377145441825993,0.730419581089429,0.794117647058823,0.710808404503002,0.866183831684462,0.73015873015873,0.694494851330963,0.761854355018243
"Eligibility",-0.272727272727273,NA,NA,0.375,NA,NA,0.857142857142857,NA,NA
"Recruitment",0.628318584070796,NA,NA,0.785714285714286,NA,NA,0.75,NA,NA
"Setting",0.377777777777778,NA,NA,0.944444444444444,NA,NA,0.678571428571429,NA,NA
"Organization",0.0289017341040462,NA,NA,0.8125,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.834808259587021,NA,NA,0.9,NA,NA,0.821428571428571,NA,NA
"Flex. adherence",0.619047619047619,NA,NA,0.764705882352941,NA,NA,0.696428571428571,NA,NA
"Follow-up",0.37219730941704,NA,NA,0.615384615384615,NA,NA,0.767857142857143,NA,NA
"Outcome",0.858585858585859,NA,NA,0.954545454545455,NA,NA,0.607142857142857,NA,NA
"Analysis",0.616438356164384,NA,NA,0.722222222222222,NA,NA,0.678571428571429,NA,NA
