"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.677804149862963,0.54133432591765,0.801919676660836,0.720588235294118,0.628816672413822,0.805755395683453,0.73015873015873,0.694494851330963,0.761854355018243
"Eligibility",0.386301369863014,NA,NA,0.375,NA,NA,0.857142857142857,NA,NA
"Recruitment",0.773410404624277,NA,NA,0.714285714285714,NA,NA,0.75,NA,NA
"Setting",0.480794701986755,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Organization",0.172821270310192,NA,NA,0.625,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.793510324483776,NA,NA,0.8,NA,NA,0.821428571428571,NA,NA
"Flex. adherence",0.645729778581112,NA,NA,0.705882352941177,NA,NA,0.696428571428571,NA,NA
"Follow-up",0.471143756558237,NA,NA,0.538461538461538,NA,NA,0.767857142857143,NA,NA
"Outcome",0.86052303860523,NA,NA,0.954545454545455,NA,NA,0.607142857142857,NA,NA
"Analysis",0.591985428051002,NA,NA,0.722222222222222,NA,NA,0.678571428571429,NA,NA
