"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","3","3","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1529","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1567","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","4","deferred","deferred","4","5","5"
"1570","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1769","deferred","NA","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1772","4","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","4","deferred","deferred","deferred","2","deferred","deferred","deferred","deferred"
"648","4","deferred","5","deferred","deferred","NA","deferred","deferred","deferred"
"650","deferred","deferred","deferred","deferred","deferred","NA","deferred","4","deferred"
"651","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","5"
"655","2","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred"
"657","deferred","deferred","deferred","deferred","5","5","deferred","deferred","5"
"662","4","4","5","deferred","3","deferred","3","5","5"
"663","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"664","3","3","4","deferred","deferred","deferred","deferred","deferred","deferred"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","NA","5","deferred","NA","deferred","deferred","deferred","5"
"668","4","4","deferred","deferred","deferred","deferred","deferred","deferred","4"
"669","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","NA"
"671","deferred","deferred","5","deferred","3","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"674","3","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"675","4","4","deferred","deferred","deferred","deferred","deferred","deferred","5"
"677","deferred","deferred","deferred","5","deferred","NA","4","5","deferred"
"678","3","deferred","4","deferred","deferred","deferred","deferred","deferred","4"
"679","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","5"
"680","deferred","3","deferred","deferred","deferred","4","deferred","deferred","deferred"
"681","deferred","deferred","5","4","deferred","deferred","deferred","deferred","NA"
"682","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","4"
"685","5","deferred","4","deferred","4","NA","deferred","deferred","deferred"
"686","deferred","deferred","3","deferred","deferred","deferred","deferred","4","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"688","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred","deferred"
"689","4","deferred","deferred","deferred","3","deferred","deferred","deferred","5"
"690","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"691","4","4","4","deferred","3","deferred","4","deferred","5"
"692","deferred","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","3","deferred"
"694","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred"
"695","deferred","4","5","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","NA","deferred","4","deferred"
"697","deferred","deferred","deferred","deferred","deferred","4","deferred","5","NA"
"705","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"712","deferred","5","deferred","deferred","2","NA","deferred","5","deferred"
"713","deferred","4","3","NA","deferred","NA","deferred","deferred","2"
"714","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"715","deferred","deferred","5","4","deferred","deferred","deferred","deferred","4"
"722","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"725","deferred","deferred","deferred","deferred","4","NA","4","5","deferred"
"733","deferred","deferred","deferred","deferred","NA","3","deferred","deferred","deferred"
