"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","4","deferred","NA","NA","deferred","deferred","deferred"
"1529","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1567","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","deferred","deferred","deferred","deferred","deferred","deferred","deferred","3","5"
"1569","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred"
"1570","3","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1769","deferred","NA","deferred","deferred","deferred","NA","4","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1772","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","4","deferred","deferred","4","deferred","deferred","deferred","deferred","5"
"648","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"650","4","deferred","5","3","deferred","NA","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"655","deferred","deferred","5","deferred","deferred","deferred","4","deferred","deferred"
"657","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"664","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"665","deferred","deferred","4","deferred","4","deferred","deferred","deferred","4"
"666","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","5"
"668","4","deferred","5","deferred","deferred","deferred","deferred","deferred","4"
"669","4","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred"
"670","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred"
"671","deferred","deferred","5","deferred","deferred","deferred","3","deferred","deferred"
"673","deferred","deferred","5","5","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","5"
"677","deferred","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"679","4","4","deferred","deferred","4","deferred","deferred","deferred","deferred"
"680","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"681","4","deferred","5","deferred","deferred","deferred","deferred","deferred","NA"
"682","deferred","deferred","5","deferred","deferred","3","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","deferred","3","deferred","4"
"685","deferred","deferred","4","deferred","deferred","NA","deferred","deferred","deferred"
"686","3","deferred","deferred","deferred","deferred","deferred","deferred","4","5"
"687","deferred","5","5","deferred","deferred","deferred","deferred","5","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"689","deferred","deferred","deferred","deferred","3","deferred","deferred","5","deferred"
"690","deferred","NA","deferred","deferred","deferred","NA","deferred","5","deferred"
"691","4","deferred","deferred","deferred","3","deferred","4","deferred","deferred"
"692","deferred","5","5","deferred","deferred","4","deferred","deferred","deferred"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","3","deferred"
"694","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","3"
"695","deferred","deferred","5","deferred","deferred","NA","4","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","NA","3","deferred","deferred"
"697","4","deferred","5","deferred","deferred","4","deferred","deferred","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","4"
"712","deferred","5","deferred","deferred","2","NA","deferred","deferred","deferred"
"713","deferred","deferred","3","deferred","deferred","NA","deferred","deferred","2"
"714","deferred","4","deferred","4","5","deferred","deferred","deferred","deferred"
"715","deferred","deferred","5","deferred","deferred","deferred","4","5","deferred"
"722","4","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred"
"725","deferred","deferred","5","deferred","4","NA","deferred","deferred","4"
"733","deferred","4","5","deferred","deferred","3","3","deferred","deferred"
