"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.730261481217187,0.618022757482983,0.827398115343842,0.834645669291339,0.766925526662823,0.896551724137931,0.748015873015873,0.720238095238095,0.777777777777778
"Eligibility",0.424657534246575,NA,NA,0.769230769230769,NA,NA,0.767857142857143,NA,NA
"Recruitment",0.776,NA,NA,0.866666666666667,NA,NA,0.732142857142857,NA,NA
"Setting",0.445544554455445,NA,NA,0.909090909090909,NA,NA,0.607142857142857,NA,NA
"Organization",-0.166666666666667,NA,NA,0.5,NA,NA,0.928571428571429,NA,NA
"Flex. delivery",0.732696897374702,NA,NA,0.777777777777778,NA,NA,0.839285714285714,NA,NA
"Flex. adherence",0.851063829787234,NA,NA,0.909090909090909,NA,NA,0.607142857142857,NA,NA
"Follow-up",0.671554252199413,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Outcome",0.594202898550725,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Analysis",0.718238993710692,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
