"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.722626063427274,0.610271762385039,0.823286573724714,0.836734693877551,0.774834437086093,0.894032374358624,0.708333333333333,0.67068532752144,0.747965466129354
"Eligibility",0.391304347826087,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
"Recruitment",0.818181818181818,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Setting",0.282051282051282,NA,NA,0.84,NA,NA,0.553571428571429,NA,NA
"Organization",0.586715867158672,NA,NA,0.818181818181818,NA,NA,0.803571428571429,NA,NA
"Flex. delivery",0.761194029850746,NA,NA,0.777777777777778,NA,NA,0.839285714285714,NA,NA
"Flex. adherence",0.854166666666667,NA,NA,0.909090909090909,NA,NA,0.607142857142857,NA,NA
"Follow-up",0.642553191489362,NA,NA,0.8,NA,NA,0.732142857142857,NA,NA
"Outcome",0.68361581920904,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Analysis",0.659919028340081,NA,NA,0.769230769230769,NA,NA,0.767857142857143,NA,NA
