"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.784219001610306,0.704957930269122,0.856021096111071,0.748299319727891,0.671237848350451,0.827539750392989,0.708333333333333,0.67068532752144,0.747965466129354
"Eligibility",0.743119266055046,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
"Recruitment",0.815181518151815,NA,NA,0.888888888888889,NA,NA,0.678571428571429,NA,NA
"Setting",0.454038997214485,NA,NA,0.68,NA,NA,0.553571428571429,NA,NA
"Organization",0.72972972972973,NA,NA,0.545454545454545,NA,NA,0.803571428571429,NA,NA
"Flex. delivery",0.772972972972973,NA,NA,0.666666666666667,NA,NA,0.839285714285714,NA,NA
"Flex. adherence",0.93710220891052,NA,NA,0.863636363636364,NA,NA,0.607142857142857,NA,NA
"Follow-up",0.493212669683258,NA,NA,0.666666666666667,NA,NA,0.732142857142857,NA,NA
"Outcome",0.614855570839065,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Analysis",0.688888888888889,NA,NA,0.769230769230769,NA,NA,0.767857142857143,NA,NA
