"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1529","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1568","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","NA","NA","4","deferred","deferred"
"1771","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","4","deferred","deferred","deferred","2","deferred","deferred","deferred","deferred"
"648","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"650","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"655","deferred","NA","deferred","deferred","deferred","deferred","4","deferred","deferred"
"657","deferred","deferred","deferred","4","deferred","5","deferred","5","5"
"663","deferred","4","deferred","deferred","deferred","deferred","deferred","5","deferred"
"664","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"665","4","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","NA","deferred","deferred","5","5"
"668","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"669","deferred","4","deferred","deferred","deferred","deferred","4","5","5"
"670","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"671","deferred","deferred","deferred","5","deferred","deferred","deferred","5","deferred"
"673","5","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"674","deferred","4","deferred","deferred","deferred","deferred","deferred","5","deferred"
"675","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"677","deferred","deferred","4","5","deferred","NA","4","deferred","deferred"
"678","deferred","NA","4","deferred","deferred","deferred","deferred","deferred","deferred"
"679","deferred","deferred","deferred","deferred","4","deferred","deferred","5","5"
"680","4","deferred","deferred","4","deferred","deferred","4","5","deferred"
"681","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","5","deferred","5","deferred"
"685","deferred","deferred","4","deferred","deferred","NA","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"687","deferred","deferred","deferred","deferred","deferred","deferred","3","5","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","4","5","5"
"689","deferred","deferred","deferred","5","deferred","deferred","deferred","5","5"
"690","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"691","4","4","deferred","4","deferred","5","4","deferred","deferred"
"692","deferred","deferred","deferred","deferred","deferred","4","deferred","5","deferred"
"693","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"694","4","4","deferred","5","deferred","deferred","deferred","5","deferred"
"695","5","deferred","5","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"697","4","5","deferred","4","4","deferred","deferred","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"712","deferred","deferred","deferred","deferred","2","deferred","deferred","5","NA"
"713","deferred","4","3","deferred","deferred","deferred","deferred","deferred","2"
"714","deferred","4","3","deferred","5","deferred","5","5","deferred"
"715","deferred","deferred","deferred","4","deferred","deferred","4","deferred","4"
"722","deferred","deferred","5","5","5","4","deferred","deferred","deferred"
"725","4","deferred","deferred","deferred","4","NA","4","5","4"
"733","deferred","deferred","5","4","deferred","3","deferred","deferred","deferred"
