"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.766194331983806,0.627909069979262,0.889443406788827,0.880434782608696,0.804123711340206,0.945938482646649,0.817460317460317,0.787698412698413,0.845238095238095
"Eligibility",0.416666666666667,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Recruitment",0.758620689655172,NA,NA,0.875,NA,NA,0.857142857142857,NA,NA
"Setting",1,NA,NA,1,NA,NA,0.821428571428571,NA,NA
"Organization",1,NA,NA,1,NA,NA,0.910714285714286,NA,NA
"Flex. delivery",0.559055118110236,NA,NA,0.6,NA,NA,0.910714285714286,NA,NA
"Flex. adherence",0.842696629213483,NA,NA,0.909090909090909,NA,NA,0.803571428571429,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.928571428571429,NA,NA
"Outcome",0.769547325102881,NA,NA,0.925925925925926,NA,NA,0.517857142857143,NA,NA
"Analysis",0.645569620253165,NA,NA,0.75,NA,NA,0.714285714285714,NA,NA
