"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.766097524122002,0.61830801291809,0.89068210490427,0.826086956521739,0.742275820681067,0.906228543014522,0.817460317460317,0.787698412698413,0.845238095238095
"Eligibility",0.787878787878788,NA,NA,0.833333333333333,NA,NA,0.892857142857143,NA,NA
"Recruitment",0.755458515283843,NA,NA,0.875,NA,NA,0.857142857142857,NA,NA
"Setting",0.641025641025641,NA,NA,0.8,NA,NA,0.821428571428571,NA,NA
"Organization",0.823899371069182,NA,NA,0.8,NA,NA,0.910714285714286,NA,NA
"Flex. delivery",0.610570236439499,NA,NA,0.6,NA,NA,0.910714285714286,NA,NA
"Flex. adherence",0.833333333333333,NA,NA,0.909090909090909,NA,NA,0.803571428571429,NA,NA
"Follow-up",0.611111111111111,NA,NA,0.75,NA,NA,0.928571428571429,NA,NA
"Outcome",0.772704211060375,NA,NA,0.925925925925926,NA,NA,0.517857142857143,NA,NA
"Analysis",0.60083857442348,NA,NA,0.6875,NA,NA,0.714285714285714,NA,NA
