"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","3","deferred","deferred","NA","deferred","deferred","deferred","deferred"
"1568","4","deferred","5","deferred","deferred","deferred","3","deferred","deferred"
"1569","deferred","deferred","deferred","4","deferred","deferred","4","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","NA","5","deferred","deferred","NA","4","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1773","4","deferred","deferred","4","deferred","3","deferred","deferred","deferred"
"648","4","deferred","5","4","deferred","deferred","deferred","deferred","deferred"
"650","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"651","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"655","deferred","deferred","5","deferred","5","5","deferred","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"662","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred","5"
"663","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","deferred","4","deferred","deferred","4","4","5","deferred"
"665","4","deferred","4","deferred","deferred","deferred","deferred","5","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred"
"668","4","deferred","5","deferred","deferred","4","deferred","5","deferred"
"669","4","4","5","deferred","4","deferred","4","5","5"
"670","5","5","deferred","5","deferred","4","4","5","deferred"
"671","deferred","deferred","deferred","deferred","3","deferred","3","deferred","3"
"673","deferred","deferred","5","deferred","5","deferred","deferred","5","deferred"
"674","3","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"678","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred"
"679","4","4","deferred","4","4","deferred","deferred","5","deferred"
"680","deferred","3","deferred","4","deferred","deferred","deferred","5","5"
"681","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","4","deferred","deferred","deferred","3","4","deferred","deferred"
"684","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"685","5","5","deferred","deferred","deferred","deferred","deferred","5","deferred"
"686","deferred","3","3","deferred","deferred","deferred","deferred","4","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred"
"688","deferred","deferred","deferred","3","deferred","deferred","4","5","5"
"689","deferred","deferred","deferred","deferred","3","deferred","deferred","5","5"
"690","deferred","deferred","deferred","3","deferred","NA","3","5","5"
"691","4","4","4","4","deferred","deferred","deferred","5","deferred"
"692","deferred","deferred","5","4","deferred","deferred","deferred","5","5"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","3","NA"
"694","4","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"695","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"713","deferred","4","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"714","3","4","deferred","4","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","4","deferred","deferred","4","5","deferred"
"722","4","deferred","5","5","5","4","3","deferred","deferred"
"725","deferred","deferred","5","5","deferred","deferred","deferred","5","deferred"
"733","deferred","4","deferred","4","deferred","deferred","deferred","deferred","deferred"
