"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1567","5","deferred","5","5","deferred","deferred","deferred","5","5"
"1568","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","5","5","deferred","deferred","5","deferred","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","NA","NA","deferred","NA","NA"
"650","4","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred"
"657","deferred","deferred","5","deferred","5","5","deferred","5","5"
"662","4","4","5","deferred","deferred","deferred","deferred","5","5"
"663","deferred","deferred","5","5","5","5","deferred","5","deferred"
"665","deferred","5","deferred","deferred","deferred","deferred","5","5","deferred"
"668","4","deferred","5","deferred","5","deferred","deferred","5","deferred"
"671","5","5","5","5","deferred","deferred","deferred","5","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"677","deferred","deferred","4","deferred","deferred","deferred","4","deferred","deferred"
"679","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"680","deferred","deferred","deferred","deferred","5","deferred","deferred","5","5"
"684","4","4","deferred","deferred","deferred","deferred","3","deferred","deferred"
"688","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred","5"
"689","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"691","4","4","deferred","4","deferred","deferred","4","deferred","deferred"
"697","4","deferred","deferred","4","4","4","deferred","5","deferred"
"705","5","deferred","deferred","deferred","5","deferred","deferred","5","deferred"
"722","4","deferred","5","5","5","deferred","deferred","deferred","deferred"
