"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.669410389282103,0.538970668464871,0.781289612240418,0.768707482993197,0.684238577553337,0.839160839160839,0.673333333333333,0.631111111111111,0.72
"Eligibility",0.752475247524752,NA,NA,0.722222222222222,NA,NA,0.64,NA,NA
"Recruitment",0.345549738219895,NA,NA,0.642857142857143,NA,NA,0.72,NA,NA
"Setting",0.616858237547893,NA,NA,0.777777777777778,NA,NA,0.64,NA,NA
"Organization",0.390243902439024,NA,NA,0.666666666666667,NA,NA,0.7,NA,NA
"Flex. delivery",0.566377585056705,NA,NA,0.692307692307692,NA,NA,0.74,NA,NA
"Flex. adherence",0.714828897338403,NA,NA,0.769230769230769,NA,NA,0.74,NA,NA
"Follow-up",0.360613810741688,NA,NA,0.846153846153846,NA,NA,0.74,NA,NA
"Outcome",0.623188405797101,NA,NA,0.866666666666667,NA,NA,0.4,NA,NA
"Analysis",0.836601307189543,NA,NA,0.846153846153846,NA,NA,0.74,NA,NA
