"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.635587961526528,0.480319903338062,0.780290586042548,0.746268656716418,0.671140939597315,0.822692129367329,0.708061002178649,0.664488017429194,0.749455337690632
"Eligibility",0.749754661432777,NA,NA,0.722222222222222,NA,NA,0.647058823529412,NA,NA
"Recruitment",0.344894026974952,NA,NA,0.642857142857143,NA,NA,0.725490196078431,NA,NA
"Setting",0.715613382899628,NA,NA,0.833333333333333,NA,NA,0.647058823529412,NA,NA
"Organization",-0.0530973451327432,NA,NA,0.5625,NA,NA,0.686274509803922,NA,NA
"Flex. delivery",0.609569377990431,NA,NA,0.818181818181818,NA,NA,0.784313725490196,NA,NA
"Flex. adherence",0.731578947368421,NA,NA,0.666666666666667,NA,NA,0.823529411764706,NA,NA
"Follow-up",0.764976958525346,NA,NA,0.75,NA,NA,0.843137254901961,NA,NA
"Outcome",0.546821599453178,NA,NA,0.851851851851852,NA,NA,0.470588235294118,NA,NA
"Analysis",0.707270408163265,NA,NA,0.769230769230769,NA,NA,0.745098039215686,NA,NA
