"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.606646100938847,0.529392435449157,0.678939690530466,0.662698412698413,0.611111111111111,0.710267053430942,0,0,0
"Eligibility",0.750778816199377,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"Recruitment",0.478499041358532,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Setting",0.466316135392705,NA,NA,0.75,NA,NA,0,NA,NA
"Organization",0.376344086021505,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Flex. delivery",0.610434782608696,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"Flex. adherence",0.459987476518472,NA,NA,0.535714285714286,NA,NA,0,NA,NA
"Follow-up",0.311475409836066,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"Outcome",0.731793210311311,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"Analysis",0.690436705362078,NA,NA,0.696428571428571,NA,NA,0,NA,NA
