"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.651162790697674,0.551099596835649,0.747864091782766,0.807692307692308,0.748539671669823,0.861836194262309,0.638888888888889,0.589285714285714,0.694394037557926
"Eligibility",0.461538461538461,NA,NA,0.789473684210526,NA,NA,0.660714285714286,NA,NA
"Recruitment",0.671554252199414,NA,NA,0.818181818181818,NA,NA,0.607142857142857,NA,NA
"Setting",0.232876712328767,NA,NA,0.9,NA,NA,0.642857142857143,NA,NA
"Organization",0.379157427937916,NA,NA,0.6875,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.706806282722513,NA,NA,0.846153846153846,NA,NA,0.767857142857143,NA,NA
"Flex. adherence",0.586206896551724,NA,NA,0.76,NA,NA,0.553571428571429,NA,NA
"Follow-up",0.657492354740061,NA,NA,0.857142857142857,NA,NA,0.75,NA,NA
"Outcome",0.65,NA,NA,0.88,NA,NA,0.553571428571429,NA,NA
"Analysis",0.650312221231044,NA,NA,0.75,NA,NA,0.5,NA,NA
