"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","5","4","4","4","deferred","deferred","deferred"
"1529","3","5","deferred","deferred","deferred","5","5","5","NA"
"1567","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1568","4","4","deferred","deferred","3","deferred","deferred","deferred","deferred"
"1569","deferred","5","5","5","4","deferred","deferred","5","5"
"1570","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1769","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1771","4","deferred","4","deferred","deferred","NA","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","NA","NA","NA","deferred","5","5"
"1773","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred","deferred"
"648","deferred","NA","deferred","deferred","deferred","deferred","deferred","5","deferred"
"650","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"651","deferred","5","5","5","5","deferred","deferred","5","deferred"
"655","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","4","4","deferred","deferred","4","5","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","3","deferred","deferred"
"663","4","4","deferred","deferred","deferred","5","deferred","deferred","deferred"
"664","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","NA","deferred","NA","deferred","4","deferred","deferred","deferred"
"668","3","3","deferred","deferred","deferred","NA","deferred","deferred","5"
"669","3","deferred","3","deferred","deferred","deferred","deferred","3","deferred"
"670","5","5","deferred","deferred","5","deferred","deferred","5","5"
"671","deferred","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
"673","4","deferred","5","deferred","deferred","deferred","5","5","deferred"
"674","3","NA","deferred","NA","deferred","NA","deferred","deferred","NA"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"677","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"679","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"680","deferred","3","deferred","deferred","deferred","deferred","3","5","deferred"
"681","4","deferred","deferred","5","deferred","deferred","deferred","5","deferred"
"682","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","4","deferred","5","5","5","deferred","4","5","NA"
"685","5","deferred","deferred","deferred","5","NA","deferred","deferred","deferred"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"689","deferred","5","5","deferred","deferred","NA","deferred","deferred","4"
"690","4","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"691","4","deferred","deferred","4","deferred","deferred","4","5","5"
"692","4","deferred","deferred","deferred","deferred","deferred","4","5","4"
"693","deferred","NA","deferred","deferred","deferred","NA","deferred","3","NA"
"694","deferred","deferred","deferred","NA","deferred","NA","4","5","5"
"695","deferred","5","deferred","4","5","NA","deferred","5","5"
"696","deferred","NA","deferred","deferred","NA","NA","deferred","deferred","NA"
"697","3","deferred","deferred","4","4","deferred","4","deferred","5"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"713","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"714","4","deferred","5","5","5","deferred","5","5","deferred"
"715","deferred","deferred","5","deferred","deferred","NA","deferred","5","5"
"722","deferred","deferred","deferred","5","5","deferred","deferred","5","5"
"725","deferred","deferred","5","deferred","5","NA","deferred","5","deferred"
"733","4","5","5","5","deferred","deferred","deferred","deferred","deferred"
