"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.692766007071259,0.602355062820412,0.784256551997092,0.72316384180791,0.659608639738183,0.789473684210526,0.648809523809524,0.597222222222222,0.698412698412698
"Eligibility",0.491329479768786,NA,NA,0.619047619047619,NA,NA,0.625,NA,NA
"Recruitment",0.882845188284519,NA,NA,0.857142857142857,NA,NA,0.625,NA,NA
"Setting",0.0902527075812275,NA,NA,0.571428571428571,NA,NA,0.75,NA,NA
"Organization",0.508155583437892,NA,NA,0.6875,NA,NA,0.714285714285714,NA,NA
"Flex. delivery",0.647798742138365,NA,NA,0.666666666666667,NA,NA,0.732142857142857,NA,NA
"Flex. adherence",0.614805109728136,NA,NA,0.76,NA,NA,0.553571428571429,NA,NA
"Follow-up",0.925827814569536,NA,NA,0.923076923076923,NA,NA,0.767857142857143,NA,NA
"Outcome",0.523201362281822,NA,NA,0.827586206896552,NA,NA,0.482142857142857,NA,NA
"Analysis",0.63003003003003,NA,NA,0.565217391304348,NA,NA,0.589285714285714,NA,NA
