"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.59523490831214,0.479047339104677,0.724982401755863,0.770992366412214,0.697006356523529,0.845490130651248,0.740079365079365,0.696428571428571,0.779761904761905
"Eligibility",0.493975903614458,NA,NA,0.75,NA,NA,0.785714285714286,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.767857142857143,NA,NA
"Setting",0.333333333333333,NA,NA,0.857142857142857,NA,NA,0.625,NA,NA
"Organization",0.372549019607843,NA,NA,0.666666666666667,NA,NA,0.785714285714286,NA,NA
"Flex. delivery",0.800711743772242,NA,NA,0.857142857142857,NA,NA,0.875,NA,NA
"Flex. adherence",0.584158415841584,NA,NA,0.785714285714286,NA,NA,0.5,NA,NA
"Follow-up",0.18578352180937,NA,NA,0.333333333333333,NA,NA,0.839285714285714,NA,NA
"Outcome",0.246153846153846,NA,NA,0.733333333333333,NA,NA,0.732142857142857,NA,NA
"Analysis",0.694545454545455,NA,NA,0.785714285714286,NA,NA,0.75,NA,NA
