"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","NA","deferred","deferred","deferred","deferred","5","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","deferred","deferred","deferred","deferred","deferred","2","deferred","4","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","3","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","5"
"1772","deferred","deferred","4","NA","NA","NA","deferred","5","deferred"
"1773","4","4","deferred","deferred","deferred","deferred","deferred","deferred","5"
"648","deferred","deferred","deferred","NA","deferred","NA","deferred","5","deferred"
"650","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"651","5","deferred","5","5","deferred","4","deferred","5","deferred"
"655","4","NA","deferred","3","deferred","2","3","deferred","deferred"
"657","deferred","deferred","4","deferred","4","deferred","deferred","5","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","3","4","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"668","deferred","3","5","deferred","deferred","deferred","deferred","deferred","5"
"669","deferred","deferred","deferred","2","deferred","2","deferred","deferred","deferred"
"670","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"671","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"674","3","NA","deferred","deferred","deferred","NA","2","deferred","deferred"
"675","deferred","deferred","NA","deferred","deferred","deferred","deferred","5","5"
"677","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"678","deferred","deferred","deferred","4","deferred","NA","deferred","5","deferred"
"679","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"680","2","3","deferred","deferred","deferred","NA","deferred","5","deferred"
"681","deferred","deferred","4","deferred","deferred","deferred","deferred","5","deferred"
"682","deferred","deferred","deferred","deferred","deferred","2","deferred","deferred","deferred"
"684","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"685","5","deferred","5","deferred","5","NA","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"687","2","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"689","2","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"690","deferred","NA","deferred","deferred","5","NA","deferred","5","deferred"
"691","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","2","NA","deferred","deferred","2","deferred","deferred","deferred","deferred"
"695","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"696","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","5"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","1","deferred","4","5","deferred"
"713","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"714","4","deferred","deferred","5","5","deferred","deferred","5","deferred"
"715","deferred","NA","5","deferred","4","NA","4","5","5"
"722","deferred","deferred","5","5","5","5","5","5","5"
"725","deferred","deferred","5","5","deferred","deferred","deferred","deferred","deferred"
"733","4","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
