"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1568","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"1570","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","deferred","deferred","deferred","NA","NA","NA","deferred","5","deferred"
"1773","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"650","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"651","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred"
"655","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"668","deferred","deferred","5","deferred","deferred","deferred","4","deferred","5"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","deferred","5","NA","deferred","5","5"
"671","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"674","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"677","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"680","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"681","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"682","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"684","deferred","deferred","5","5","deferred","deferred","deferred","5","deferred"
"685","5","deferred","5","deferred","5","deferred","deferred","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"690","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"691","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"692","4","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"695","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","NA","deferred","deferred","NA","NA","deferred","deferred","NA"
"697","3","deferred","4","4","deferred","deferred","deferred","deferred","5"
"705","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"713","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"714","4","deferred","5","5","5","deferred","deferred","5","deferred"
"715","deferred","deferred","5","deferred","deferred","NA","deferred","deferred","5"
"722","deferred","deferred","5","5","5","deferred","deferred","5","5"
"725","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"733","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
