"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.738724727838258,0.628005003312452,0.844407352194074,0.857142857142857,0.792699450452557,0.91566265060241,0.708333333333333,0.662698412698413,0.753968253968254
"Eligibility",0.56701030927835,NA,NA,0.842105263157895,NA,NA,0.660714285714286,NA,NA
"Recruitment",0.909385113268608,NA,NA,0.933333333333333,NA,NA,0.732142857142857,NA,NA
"Setting",0.2,NA,NA,0.882352941176471,NA,NA,0.696428571428571,NA,NA
"Organization",0.670588235294118,NA,NA,0.888888888888889,NA,NA,0.839285714285714,NA,NA
"Flex. delivery",0.671554252199414,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Flex. adherence",0.764705882352941,NA,NA,0.846153846153846,NA,NA,0.767857142857143,NA,NA
"Follow-up",0.72,NA,NA,0.875,NA,NA,0.714285714285714,NA,NA
"Outcome",0.550200803212851,NA,NA,0.846153846153846,NA,NA,0.535714285714286,NA,NA
"Analysis",0.710594315245478,NA,NA,0.8,NA,NA,0.642857142857143,NA,NA
