"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","5","deferred","5","deferred","deferred","deferred","deferred","5","5"
"1568","4","deferred","deferred","3","3","deferred","deferred","deferred","deferred"
"1570","3","NA","deferred","NA","deferred","NA","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1771","4","deferred","deferred","deferred","deferred","NA","NA","deferred","5"
"1772","3","deferred","4","deferred","deferred","deferred","4","deferred","deferred"
"1773","4","deferred","3","deferred","4","4","deferred","deferred","deferred"
"650","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"651","5","5","5","5","5","deferred","deferred","5","deferred"
"655","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"662","5","deferred","5","deferred","5","5","deferred","5","5"
"663","4","deferred","deferred","deferred","4","deferred","deferred","4","deferred"
"664","deferred","deferred","deferred","5","5","deferred","5","5","5"
"666","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"668","deferred","deferred","5","5","5","deferred","deferred","deferred","5"
"669","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"670","5","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"671","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"673","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"674","deferred","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","deferred","deferred","deferred","5","deferred","deferred","deferred","5","deferred"
"678","5","5","5","deferred","deferred","NA","deferred","5","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"680","deferred","deferred","deferred","4","deferred","deferred","deferred","deferred","NA"
"681","deferred","deferred","4","deferred","deferred","deferred","4","deferred","deferred"
"684","4","4","5","5","5","NA","deferred","5","deferred"
"685","5","deferred","5","deferred","5","NA","5","5","deferred"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"687","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"688","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"689","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","4"
"690","deferred","deferred","4","4","deferred","deferred","deferred","deferred","deferred"
"691","deferred","5","5","deferred","deferred","deferred","deferred","5","5"
"692","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"693","5","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"695","deferred","deferred","deferred","4","deferred","NA","deferred","deferred","deferred"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA"
"697","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"705","5","deferred","deferred","5","5","deferred","5","5","5"
"712","deferred","5","deferred","4","deferred","deferred","deferred","5","deferred"
"713","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"714","4","5","5","deferred","5","deferred","5","5","deferred"
"715","5","deferred","5","5","deferred","NA","deferred","5","5"
"722","5","5","5","5","5","5","5","5","5"
"725","5","5","5","5","5","deferred","5","5","deferred"
"733","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
