"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.618429466683719,0.474862815428907,0.767652273816267,0.820689655172414,0.751638834992759,0.888888888888889,0.684095860566449,0.616557734204793,0.751633986928105
"Eligibility",0.743718592964824,NA,NA,0.909090909090909,NA,NA,0.568627450980392,NA,NA
"Recruitment",0.486577181208054,NA,NA,0.727272727272727,NA,NA,0.784313725490196,NA,NA
"Setting",0.385542168674699,NA,NA,0.944444444444444,NA,NA,0.647058823529412,NA,NA
"Organization",0.412103746397695,NA,NA,0.764705882352941,NA,NA,0.666666666666667,NA,NA
"Flex. delivery",0.372307692307692,NA,NA,0.733333333333333,NA,NA,0.705882352941177,NA,NA
"Flex. adherence",0.413793103448276,NA,NA,0.666666666666667,NA,NA,0.705882352941177,NA,NA
"Follow-up",0.725806451612903,NA,NA,0.888888888888889,NA,NA,0.823529411764706,NA,NA
"Outcome",0.595238095238095,NA,NA,0.904761904761905,NA,NA,0.588235294117647,NA,NA
"Analysis",0.627056672760512,NA,NA,0.764705882352941,NA,NA,0.666666666666667,NA,NA
