"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","2","deferred","deferred","5","deferred"
"1567","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1568","deferred","4","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1569","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1570","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1770","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1771","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1772","4","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"1773","4","deferred","5","deferred","deferred","deferred","deferred","deferred","deferred"
"648","4","4","5","deferred","5","deferred","4","5","5"
"650","4","deferred","5","4","deferred","deferred","4","5","deferred"
"651","deferred","deferred","deferred","4","deferred","5","deferred","deferred","4"
"655","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"657","4","deferred","5","deferred","deferred","deferred","deferred","5","5"
"662","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"663","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"664","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"665","deferred","3","deferred","deferred","deferred","deferred","deferred","deferred","5"
"666","4","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"668","deferred","4","5","4","deferred","deferred","deferred","5","5"
"669","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"670","4","5","deferred","deferred","5","NA","deferred","5","5"
"671","deferred","4","deferred","deferred","deferred","deferred","deferred","5","4"
"673","deferred","4","5","deferred","deferred","deferred","deferred","5","deferred"
"674","deferred","NA","deferred","deferred","deferred","NA","deferred","4","deferred"
"675","deferred","deferred","deferred","deferred","deferred","deferred","3","4","4"
"677","deferred","deferred","deferred","deferred","4","deferred","deferred","5","5"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"679","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"680","deferred","deferred","2","deferred","deferred","deferred","deferred","5","4"
"681","deferred","deferred","4","deferred","deferred","5","deferred","4","5"
"682","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred","4"
"684","deferred","deferred","5","deferred","deferred","deferred","deferred","5","5"
"685","5","4","5","5","deferred","deferred","deferred","5","5"
"686","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"688","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","5"
"689","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"690","deferred","deferred","deferred","deferred","4","deferred","deferred","4","5"
"691","deferred","4","deferred","deferred","deferred","deferred","deferred","4","deferred"
"692","deferred","5","deferred","deferred","deferred","deferred","4","5","deferred"
"693","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"694","deferred","NA","deferred","deferred","deferred","deferred","deferred","5","deferred"
"695","deferred","deferred","5","deferred","deferred","deferred","deferred","5","deferred"
"696","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"697","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"705","deferred","4","5","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"713","deferred","4","deferred","deferred","4","deferred","deferred","4","deferred"
"714","4","4","5","5","5","deferred","4","5","5"
"715","4","4","5","4","4","deferred","4","5","5"
"722","4","deferred","5","5","4","4","deferred","4","5"
"725","deferred","4","5","4","4","deferred","deferred","5","5"
"733","deferred","4","4","deferred","deferred","deferred","deferred","5","5"
