"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.435489252180544,0.333936750811798,0.525232514517921,0.5,0.442510724346836,0.555505148669037,0,0,0
"Eligibility",0.71390158644797,NA,NA,0.767857142857143,NA,NA,0,NA,NA
"Recruitment",0.453362255965293,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Setting",0.497822188060466,NA,NA,0.446428571428571,NA,NA,0,NA,NA
"Organization",0.36061684460261,NA,NA,0.410714285714286,NA,NA,0,NA,NA
"Flex. delivery",0.441560346091802,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"Flex. adherence",0.152059540613371,NA,NA,0.321428571428571,NA,NA,0,NA,NA
"Follow-up",0.132743362831858,NA,NA,0.25,NA,NA,0,NA,NA
"Outcome",0.456821026282854,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"Analysis",0.168158446010284,NA,NA,0.553571428571429,NA,NA,0,NA,NA
