publication_id,tool,quote,best_match_source,best_match,similarity
1567,PRECIS-2,Excluding people not known or shown to be highly adherent to the intervention. Excluding people using tests or measures that are not used or available in usual care. Excluding people not expected to be highly responsive to the intervention.,prompt,Excluding people not known or shown to be highly adherent to the intervention. * Excluding people using tests or measures that are not used or available in usual care. * Excluding people not expected to be highly responsive to the intervention.,100.0
1567,PRECIS-2,"Trials that choose outcomes of obvious importance to patients, and measure them in a way that is the same or similar to the way they are measured in usual care would be likely to score at or close to 5 on PRECIS-2.",prompt,"Trials that choose outcomes of obvious importance to patients, and measure them in a way that is the same or similar to the way they are measured in usual care would be likely to score at or close to 5 on PRECIS-2.",100.0
1567,PRECIS-2,"A highly pragmatic design would aim to slot the intervention into the usual organisation of care for the condition of interest, making use of no more than the existing healthcare staff and resources in that setting.",prompt,"A highly pragmatic design would aim to slot the intervention into the usual organisation of care for the condition of interest, making use of no more than the existing healthcare staff and resources in that setting.",100.0
1567,PRECIS-2,Approaches to the primary analysis that are likely to reduce the PRECIS-2 score include excluding non-compliant recipients (per protocol analysis) and analyse recipients to treatment received instead of treatment randomised (as treated analysis).,prompt,Approaches to the primary analysis that are likely to reduce the PRECIS-2 score include * Excluding non-compliant recipients (per protocol analysis) * Analyse recipients to treatment received instead of treatment randomised (as treated analysis) ,98.78048780487805
1567,PRECIS-2,Approaches to setting that are likely to reduce the PRECIS-2 score include selecting participating centres from among only specialist or academic centres when the trial is intended to be applicable to all types of practice or clinic treating the condition of interest.,prompt,Approaches to setting that are likely to reduce the PRECIS-2 score include * Selecting participating centres from among only specialist or academic centres when the trial is intended to be applicable to all types of practice or clinic treating the condition of interest.,100.0
1567,PRECIS-2,"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.",fulltext,"The intervention included eight weekly 2-h group sessions focused on building efficacy for use of cognitive compensatory strategies and lifestyle activities that support cognitive functioning (e.g., sleep and rest, exercise) paired with a home-based computer-assisted cognitive training program.",100.0
1567,PRECIS-2,The methodology of how to deliver an intervention is not rigidly prescriptive in the protocol.,prompt,The methodology of how to deliver an intervention is not rigidly prescriptive in the protocol.,100.0
1567,PRECIS-2,"The study was conducted with 183 persons with MS to evaluate the efficacy of the MAPSS-MS intervention in improving the primary outcome of overall neuro-cognitive competence in activities of daily living (verbal memory performance, use of cognitive strategies and performance on cognitive-related IADLs). The comparison group received usual-care plus information about publicly available computer games.",fulltext," was conducted with 183 persons with MS to evaluate the efficacy of the MAPSS-MS intervention in improving the primary outcome of overall neurocognitive competence in activities of daily living (verbal memory performance, use of cognitive strategies and performance on cognitive-related IADLs). The comparison group received usualcare plus information about publicly available computer games.",97.27047146401985
1567,PRECIS-2,"The intention-to-treat analysis has recently also become the norm for superiority trials taking a more explanatory design approach, especially when regulatory approval for an intervention is being sought.",prompt,"The intention-to-treat analysis has recently also become the norm for superiority trials taking a more explanatory design approach, especially when regulatory approval for an intervention is being sought.",100.0
1567,PRECIS-2,"As flexibility for recipients is reduced, the trial moves towards a more explanatory approach on this domain.",prompt,"As flexibility for recipients is reduced, the trial moves towards a more explanatory approach on this domain.",100.0
1567,PRECIS-2,"Follow-up approaches that are likely to reduce the PRECIS-2 score include follow-up visits that are more frequent than would typically occur under usual care, unscheduled follow-up visits triggered by a primary outcome event, and unscheduled follow-up visits triggered by an intervening event that is likely to lead to the primary outcome event.",prompt,Follow-up approaches that are likely to reduce the PRECIS-2 score include * Follow-up visits that are more frequent than would typically occur under usual care. * Unscheduled follow-up visits are triggered by a primary outcome event. * Unscheduled follow-up visits are triggered by an intervening event that is likely to lead to the primary outcome event.,99.1304347826087
1567,PRECIS-2,"Additional recruitment approaches that could potentially reduce the PRECIS-2 score include media advertising campaigns such as television and radio advertisements, newspaper advertisements, flyers, websites, press releases, letters to the editor, interviews with the chief investigator on television or radio.",prompt,"Additional recruitment approaches that could potentially reduce the PRECIS-2 score include * Searching medical record systems for eligible participants and then mailing invitation letters. Depending on local resources, such as electronic medical records and comprehensive local disease registers, this approach may be easily achievable in usual care and so would not reduce the PRECIS-2 score. * Media advertising campaigns such as television and radio advertisements, newspaper advertisements, flyers, websites, press releases, letters to the editor, interviews with the chief investigator on television or radio.",100.0
1567,PRECIS-2,"As delivery flexibility is reduced, the trial moves towards a more explanatory approach in this domain.",prompt,"As delivery flexibility is reduced, the trial moves towards a more explanatory approach in this domain.",100.0
1567,PRECIS-2,Persons with MS (N ¼ 183) with cognitive concerns were randomly assigned to either the 8-week MAPSS-MS intervention or usual care plus freely available computer games.,fulltext,Persons with MS (N ¼ 183) with cognitive concerns were randomly assigned to either the 8week MAPSS-MS intervention or usual care plus freely available computer games.,99.40119760479041
1567,PRECIS-2,The most extreme pragmatic approach to recruitment would be to do this in usual care so that only the people who attend a clinic with the condition of interest are recruited after they present on their own behalf without any overt recruitment effort.,prompt,The most extreme pragmatic approach to recruitment would be to do this in usual care so that only the people who attend a clinic with the condition of interest are recruited after they present on their own behalf without any overt recruitment effort.,100.0
1567,PRECIS-2,Approaches to recipient flexibility that are likely to reduce the PRECIS-2 score include having a trial pre-screening stage where patients are evaluated for adherence with the intervention and withdrawing patients from the trial if their adherence with the intervention drops below some specified level.,prompt,"Approaches to recipient flexibility that are likely to reduce the PRECIS-2 score include * Having a trial pre-screening stage where patients are evaluated for adherence with the intervention (such as dose, dosing schedule, attendance at therapy sessions). Patients judged to not be adherent are excluded. * Withdrawing patients from the trial if their adherence with the intervention drops below some specified level.",100.0
1567,PRECIS-2,"Organisational approaches that are likely to reduce the PRECIS-2 score include increasing the number and types of co-interventions, particularly if excluded co-interventions would dilute any intervention effect.",prompt," the number and types of co-interventions, particularly if excluded co-interventions would dilute any intervention effect ",57.81990521327014
1567,PRECIS-2,A highly pragmatic approach to eligibility criteria would be to include in the trial anyone with the condition of interest who is likely to be a candidate for the intervention if it was being provided in usual care for this condition.,prompt,A highly pragmatic approach to eligibility criteria would be to include in the trial anyone with the condition of interest who is likely to be a candidate for the intervention if it was being provided in usual care for this condition.,100.0
1567,PRECIS-2,"Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months post-intervention.",fulltext,"Participants completed self-report and performance measures of cognitive functioning, compensatory strategies and depression at baseline, immediately after the MAPSS-MS intervention, and three and six months postintervention.",99.5575221238938
1567,PRECIS-2,The most pragmatic position with regard to follow-up would be to have no more follow-up of recipients than would be the case in usual care.,prompt,The most pragmatic position with regard to follow-up would be to have no more follow-up of recipients than would be the case in usual care.,100.0
1567,PRECIS-2,"Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.",fulltext,"Neuropsychological testing and questionnaire data were collected from all subjects at baseline, following completion of the intervention, and 3 and 6 months post-intervention.",100.0
