publication_id,tool,quote,best_match_source,best_match,similarity
1528,PRECIS-2,The costs used are shown in Table 1.,fulltext,The costs used are shown in Table 1.,100.0
1528,PRECIS-2,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",fulltext,"People with multiple sclerosis were screened on the General Health Questionnaire 12 and Hospital Anxiety and Depression Scale, and those with low mood were recruited.",100.0
1528,PRECIS-2,"Those who were not able to complete the outcome measures, such as people with visual problems, were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",fulltext,"Those who were not able to complete the outcome measures, such as people with visual problems, were visited by a researcher who was unaware of their group allocation, who completed the questionnaires with them.",100.0
1528,PRECIS-2,The costs were assessed from a service use questionnaire and information provided on medication.,fulltext,The costs were assessed from a service use questionnaire and information provided on medication.,100.0
1528,PRECIS-2,Participants allocated to the control group received all other rehabilitation routinely provided and were offered the opportunity to attend groups once they had completed the study.,fulltext,Participants allocated to the control group received all other rehabilitation routinely provided and were offered the opportunity to attend groups once they had completed the study.,100.0
1528,PRECIS-2,The trial's primary outcome was to evaluate the cost effectiveness of a psychological adjustment group shown to be clinically effective in comparison with usual care for people with multiple sclerosis.,fulltext, To evaluate the cost effectiveness of a psychological adjustment group shown to be clinically effective in comparison with usual care for people with multiple sclerosis.,84.5771144278607
1528,PRECIS-2,The analysis was conducted from the perspective of the UK National Health Service (NHS).,fulltext,The analysis was conducted from the perspective of the UK National Health Service (NHS).,100.0
1528,PRECIS-2,"Participants were included who scored >2 on the General Health Questionnaire 12, 7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale.",fulltext,"participants were included who scored >2 on the General Health Questionnaire 12, 7 a measure of psychological distress, or >7 on the anxiety and depression subscales of the Hospital Anxiety and Depression Scale,",100.0
1528,PRECIS-2,Participants allocated to the intervention group were invited to attend a psychological adjustment group for six sessions over 12 weeks.,fulltext,se allocated to intervention were invited to attend a psychological adjustment group for six sessions over 12 weeks.,84.55882352941177
1528,PRECIS-2,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",fulltext,"Four and eight months after random allocation, participants were sent a booklet of outcome questionnaires to complete and return by post.",100.0
1528,PRECIS-2,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,fulltext,Participants were recruited for a randomized trial of adjustment groups for people with multiple sclerosis and low mood between June 2008 and September 2009.,100.0
1528,PRECIS-2,The groups involved teaching people to recognize symptoms of distress and introduced them to strategies to improve their mood.,fulltext,The groups involved teaching people to recognise symptoms of distress and introduced them to strategies to improve their mood.,99.20634920634922
1528,PRECIS-2,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",fulltext,"The groups were delivered by two Band 5 assistant psychologists, who were supervised by a Band 8a clinical psychologist, experienced in working with people with multiple sclerosis.",100.0
1529,PRECIS-2,"The FHM was effective in relieving depression, stress, fatigue, and to some extent, anxiety.",fulltext,"The FHM was effective in relieving depression, stress, fatigue, and to some extent, anxiety.",100.0
