"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.110454334724154,0.00905200559157716,0.203511059510223,0.354166666666667,0.307021346786241,0.398804846881909,0.253333333333333,0.151111111111111,0.357777777777778
"Eligibility",0.0318302387267905,NA,NA,0.418604651162791,NA,NA,0.14,NA,NA
"Recruitment",-0.274819494584838,NA,NA,0.157894736842105,NA,NA,0.24,NA,NA
"Setting",0.0889212827988337,NA,NA,0.351351351351351,NA,NA,0.26,NA,NA
"Organization",-0.00937274693583268,NA,NA,0.342857142857143,NA,NA,0.3,NA,NA
"Flex. delivery",0.122590212555611,NA,NA,0.361111111111111,NA,NA,0.28,NA,NA
"Flex. adherence",0.216045611891672,NA,NA,0.361111111111111,NA,NA,0.28,NA,NA
"Follow-up",0.267697314890155,NA,NA,0.27027027027027,NA,NA,0.26,NA,NA
"Outcome",0.117520447696944,NA,NA,0.631578947368421,NA,NA,0.24,NA,NA
"Analysis",0.0301988706113431,NA,NA,0.277777777777778,NA,NA,0.28,NA,NA
