"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","5","5","5","5","5","NA","5","5","5"
"1568","4","3","3","3","3","3","3","3","3"
"1570","3","NA","NA","NA","NA","NA","NA","5","5"
"1769","1","3","3","3","deferred","deferred","deferred","deferred","3"
"1771","4","NA","5","5","2","NA","NA","5","5"
"1772","3","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"1773","4","3","3","4","4","4","4","4","4"
"650","4","4","4","4","4","4","4","4","4"
"651","5","5","5","5","5","5","5","5","5"
"655","3","2","3","3","4","3","4","4","4"
"657","5","5","5","5","5","5","5","5","5"
"662","5","5","5","5","5","5","5","5","5"
"663","4","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"664","5","5","5","5","5","5","5","5","5"
"666","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"668","5","5","5","5","5","5","5","5","5"
"669","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"670","5","5","5","deferred","deferred","5","deferred","deferred","deferred"
"671","4","4","3","4","4","4","5","5","5"
"673","4","3","deferred","3","3","3","3","3","deferred"
"674","5","5","5","5","5","deferred","5","5","5"
"675","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"677","4","5","5","5","5","5","5","5","5"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"679","3","3","5","5","5","deferred","5","5","5"
"681","2","3","4","4","4","NA","4","4","5"
"684","4","4","5","deferred","5","NA","5","5","5"
"685","5","5","5","5","5","NA","5","5","5"
"686","NA","4","2","NA","NA","NA","2","5","5"
"687","4","3","5","5","5","NA","5","5","5"
"688","5","5","5","5","5","5","5","5","5"
"689","4","4","4","4","4","deferred","4","4","4"
"690","deferred","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"691","5","5","5","5","5","5","5","5","5"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"693","5","5","5","5","5","5","5","5","5"
"694","4","5","5","5","5","NA","5","5","5"
"695","4","deferred","deferred","4","4","NA","4","4","4"
"696","1","4","1","4","1","4","1","NA","NA"
"697","5","5","5","5","5","5","5","5","5"
"705","5","5","5","5","5","5","5","5","5"
"712","4","5","3","deferred","deferred","deferred","5","5","deferred"
"713","4","deferred","5","5","5","5","5","5","5"
"714","4","5","5","deferred","5","5","5","5","5"
"715","5","5","5","5","5","NA","5","5","5"
"722","5","5","5","5","5","5","5","5","5"
"725","5","5","5","5","5","5","5","5","5"
"733","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
