publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,Study quality was assessed using the Downs and Black tool. This involves 27 questions that evaluate reporting quality as well as internal and external validity. The checklist allows scores from 0 to 32 which includes a score of 0 to 5 for sample size estimation.,fulltext,Study quality was assessed using the Downs and Black tool.9 This involves 27 questions that evaluate reporting quality as well as internal and external validity. The checklist allows scores from 0 to 32 which includes a score of 0 to 5 for sample size estimation.,100.0
100,AMSTAR,"Two authors independently searched Medline and Embase up to June 24, 2015 using the following search strategy “[paediatric surgery OR pediatric surgery OR pediatric surgeon OR paediatric surgeon] AND [appendectomy OR appendicectomy].",fulltext,"2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy “([paediatric surgery OR pediatric surgery OR pediatric surgeon OR paediatric surgeon] AND (appendectomy OR appendicectomy)]",98.71244635193133
100,AMSTAR,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendicectomy in children.,fulltext,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendicectomy in children.,100.0
100,AMSTAR,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated. Data were extracted by 2 authors using an electronic spreadsheet.,fulltext,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated. Data were extracted by 2 authors using an electronic spreadsheet.,100.0
101,AMSTAR,Pediatric incidental appendectomy: a systematic review,fulltext,Pediatric incidental appendectomy: a systematic review,100.0
101,AMSTAR,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces. The terms “Incidental appendectomy” and “Prophylactic appendectomy” returned 315 and 74 results, respectively.",fulltext,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces. The terms “Incidental appendectomy” and “Prophylactic appendectomy” returned 315 and 74 results, respectively.",100.0
101,AMSTAR,Citations of retrieved results were manually reviewed for relevance to the topic by two independent reviewers.,fulltext,Citations of retrieved results were manually reviewed for relevance to the topic of IA by two independent reviewers.,100.0
102,AMSTAR,"Over the past 15 years, many studies have reported the use MIA for NB. Iwanaka et al [14] collected data from the Japanese Society of Pediatric Endosurgeons regarding 104 cases of abdominal and thoracic NB, with 80 excisions.",fulltext,"Over the past 15 years, many studies have reported the use MIA for NB. Iwanaka et al [14] collected data from the Japanese Society of Pediatric Endosurgeons regarding 104 cases of abdominal and thoracic NB, with 80 excisions.",100.0
102,AMSTAR,"In localized NB, children without IDRF (stage L1) are suitable for primary resection. If feasible, MIA is justified in these cases if the tumor is well encapsulated.",fulltext,"In localized NB, children without IDRF (stage L1) are suitable for primary resection. If feasible, MIA is justified in these cases if the tumor is well encapsulated.",100.0
102,AMSTAR,There are predisposing syndromes (Li-Fraumeni and Beckwith-Wiedemann syndromes).,fulltext,There are predisposing syndromes (Li-Fraumeni and Beckwith-Wiedemann syndromes).,100.0
