"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.513460017509654,0.475178279871039,0.547519832194466,0.698082010582011,0.674272486772487,0.719899006259654,0,0,0
"P1",0.168316831683168,NA,NA,0.919642857142857,NA,NA,0,NA,NA
"P2",0.0333253416446895,NA,NA,0.357142857142857,NA,NA,0,NA,NA
"P3",0,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"P4",0.137577002053388,NA,NA,0.598214285714286,NA,NA,0,NA,NA
"P5",0.601581027667984,NA,NA,0.919642857142857,NA,NA,0,NA,NA
"P6",0.237623762376238,NA,NA,0.803571428571429,NA,NA,0,NA,NA
"P7",0.0137825421133232,NA,NA,0.383928571428571,NA,NA,0,NA,NA
"P8",0.470098410295231,NA,NA,0.776785714285714,NA,NA,0,NA,NA
"P9",0.332936271590232,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"P10",0.517835178351784,NA,NA,0.75,NA,NA,0,NA,NA
"P11",0.162576687116565,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"P12",0.181506338553318,NA,NA,0.5625,NA,NA,0,NA,NA
"P13",0.629807692307692,NA,NA,0.803571428571429,NA,NA,0,NA,NA
"P14",0.370404132482528,NA,NA,0.669642857142857,NA,NA,0,NA,NA
"P15",0.179598480737927,NA,NA,0.517857142857143,NA,NA,0,NA,NA
"P16",0.251758087201125,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"P17",0.437271619975639,NA,NA,0.705357142857143,NA,NA,0,NA,NA
"P18",0.232398753894081,NA,NA,0.705357142857143,NA,NA,0,NA,NA
"P19",0.21478648820905,NA,NA,0.508928571428571,NA,NA,0,NA,NA
"P20",0.327678454913219,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"P21",0.38806851742469,NA,NA,0.669642857142857,NA,NA,0,NA,NA
"P22",0.0688836104513064,NA,NA,0.5,NA,NA,0,NA,NA
"P23",0.212435233160622,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"P24",0.0963040083289953,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"P25",0.156792144026187,NA,NA,0.589285714285714,NA,NA,0,NA,NA
"P26",-0.0499999999999998,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"P27",0.319493670886076,NA,NA,0.785714285714286,NA,NA,0,NA,NA
