"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.9102664518894,0.873184973617874,0.942613384665893,0.943993506493506,0.921266233766234,0.964285714285714,0,0,0
"A1",0.878326996197719,NA,NA,0.964285714285714,NA,NA,0,NA,NA
"A2",0.890660592255125,NA,NA,0.946428571428571,NA,NA,0,NA,NA
"A3",0.918367346938776,NA,NA,0.991071428571429,NA,NA,0,NA,NA
"A4",0.845659163987138,NA,NA,0.973214285714286,NA,NA,0,NA,NA
"A5",0.850950570342205,NA,NA,0.9375,NA,NA,0,NA,NA
"A6",0.758273381294964,NA,NA,0.973214285714286,NA,NA,0,NA,NA
"A7",0.879049676025918,NA,NA,0.955357142857143,NA,NA,0,NA,NA
"A8",0.807361541107671,NA,NA,0.910714285714286,NA,NA,0,NA,NA
"A9",0.840739424102382,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A10",0.722893319749673,NA,NA,0.848214285714286,NA,NA,0,NA,NA
"A11",0.832134292565947,NA,NA,0.955357142857143,NA,NA,0,NA,NA
