publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,fulltext,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and MetaAnalyses guidelines.,99.24812030075188
100,AMSTAR,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
100,AMSTAR,The results of the quality assessment are available in a supplementary table and are also summarized in Table 1.,fulltext,The results of the quality assessment are available in a supplementary table and are also summarized in Table 1.,100.0
100,AMSTAR,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy",fulltext,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy",100.0
100,PRISMA,"Two authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy",fulltext,"2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy",97.52066115702479
100,PRISMA,"We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group. However, our article is based upon a group of heterogeneous and mostly retrospective studies, and therefore there is little external validity.",fulltext,"We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group. However, our article is based upon a group of heterogeneous and mostly retrospective studies, and therefore there is little ",94.35736677115987
100,PRISMA,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,PRISMA,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group.,fulltext,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group.,100.0
100,PRISMA,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,fulltext,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,100.0
100,PRISMA,"At present, appendicitis in pediatric patients is managed by both general surgeons and specialized pediatric surgeons; however, the influence of surgeon subspecialization on outcomes is unclear.",fulltext,"At present, appendicitis in pediatric patients is managed by both general surgeons and specialized pediatric surgeons; 8 however, the influence of surgeon subspecialization on outcomes is unclear.",100.0
100,PRISMA,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, or mortality, and length of stay.",fulltext,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",99.27710843373494
100,PRISMA,We performed a systematic review and meta-analysis to determine the influence of surgeon subspecialty on outcomes following appendicectomy in children.,fulltext,We performed a systematic review and meta-analysis to determine the influence of surgeon subspecialty on outcomes following appendicectomy in children.,100.0
100,PRISMA,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,100.0
100,PRISMA,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,fulltext,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,100.0
100,PRISMA,Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility.,fulltext,Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility.,100.0
100,PRISMA,"Our article is based entirely upon observational data. Furthermore, no randomized data were available and therefore our review is prone to biases and confounding.",fulltext," Furthermore, no randomized data were available and therefore our review is prone to biases and confounding.",66.66666666666667
101,AMSTAR,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces.",fulltext,"In December 2014, a comprehensive literature search was performed using Ovid MEDLINE (1946–present) and Embase (1974–present) using the OvidSP interfaces.",100.0
101,PRISMA,Pediatric incidental appendectomy: a systematic review,fulltext,Pediatric incidental appendectomy: a systematic review,100.0
101,PRISMA,Rationale,prompt,Rationale,100.0
102,AMSTAR,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions:",fulltext,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions:",100.0
102,AMSTAR,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",fulltext,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",100.0
102,PRISMA,Long-term follow-up is required to evaluate the efficacy of MIA in neuroblastomas.,fulltext,Long-term follow-up is required to evaluate the efficacy of MIA in neuroblastomas.,100.0
102,PRISMA,"In conclusion, minimally invasive adrenalectomy is promising for removal of small adrenal tumors.",fulltext, Conclusions: Minimally invasive adrenalectomy is promising for removal of small adrenal tumors.,97.9381443298969
102,PRISMA,Describe the rationale for the review in the context of what is already known.,prompt,Describe the rationale for the review in the context of what is already known.,100.0
102,PRISMA,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions:",fulltext,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions:",100.0
103,AMSTAR,"The following outcome parameters were abstracted: author, year, study design, study periods, cases of LP and OP, age periods, gender distribution, sides of obstruction and number of patients with crossing-vessel.",fulltext,"The following outcome parameters were abstracted: author, year, study design, study periods, cases of LP and OP, age periods, gender distribution, sides of obstruction and number of patients with crossing-vessel.",100.0
103,AMSTAR,We conducted this meta-analysis in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses [10].,fulltext,We conducted this meta-analysis in accordance with the Preferred Reporting Items for Laparoscopic versus open pyeloplasty in ureteropelvic junction obstruction 4923 Int J Clin Exp Med 2015;8(4):4922-4931 Systematic Reviews and Meta-Analyses [10].,100.0
103,AMSTAR,"Data abstraction was carried out independently by two authors (Yidong Huang, Yang Wu) according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang).",fulltext,. according to the meta-analysis of observational studies in epidemiology guidelines [11] and disagreements were consulted with the third one (Lugang Huang).,65.14522821576763
103,AMSTAR,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",fulltext,"A systematic literature search of electronic databases including PUBMED, Web of science and Cochrane library was carried out between Jan. 1966 and Oct. 2014 to identify eligible studies, using the following words: “hydronephrosis OR ureteropelvic junction obstruction OR pelvi-ureteric junction obstruction OR ureteral obstruction”, “pyeloplasty”, “young OR children OR child OR kids OR pediatrics” and “laparoscopic”.",100.0
103,PRISMA,An updated meta-analysis of laparoscopic versus open pyeloplasty for ureteropelvic junction obstruction in children,fulltext,An updated meta-analysis of laparoscopic versus open pyeloplasty for ureteropelvic junction obstruction in children,100.0
104,AMSTAR,[This systematic review was conducted using studies identified by a literature search between January 1990 and March 2014.],fulltext,A systematic review was conducted using studies identified by a literature search between January 1990 and March 2014. ,95.9349593495935
104,AMSTAR,"[The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals between January 1990 and March 2014.]",fulltext,"[The search involved finding relevant studies from MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, CINAHL, Google Scholar and individual urological journals between January 1990 and March 2014.]",100.0
104,AMSTAR,[A total of six studies were found to fit the inclusion criteria from the literature search.],fulltext,[A total of six studies were found to fit the inclusion criteria from the literature search.],100.0
104,PRISMA,"To understand the role, safety and efficacy of flexible ureterorenoscopy and lasertripsy (FURSL) for paediatric renal stones.",fulltext,"To understand the role, safety and efficacy of flexible ureterorenoscopy and lasertripsy (FURSL) for paediatric renal stones.",100.0
104,PRISMA,Flexible ureteroscopy and lasertripsy (FURSL) for paediatric renal calculi: Results from a systematic review,fulltext,Flexible ureteroscopy and lasertripsy (FURSL) for paediatric renal calculi: Results from a systematic review,100.0
105,AMSTAR,"The authors should state that they searched for reports regardless of their publication type. The authors should state whether or not they excluded any reports (from the systematic review), based on their publication status, language etc.",prompt,"The authors should state that they searched for reports regardless of their publication type. The authors should state whether or not they excluded any reports (from the systematic review), based on their publication status, language etc.",100.0
105,AMSTAR,Two reviewers independently extracted the data which was then put into an Excel spread sheet.,fulltext,Two reviewers independently extracted the data which was then put into an Excel spread sheet.,100.0
105,AMSTAR,Potential sources of support should be clearly acknowledged in both the systematic review and the included studies.,prompt,Potential sources of support should be clearly acknowledged in both the systematic review and the included studies.,100.0
