"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.509423013779282,0.467531821317278,0.545246159406497,0.696759259259259,0.674611575750928,0.717261904761905,0,0,0
"P1",0.397849462365591,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"P2",0.0258014073494918,NA,NA,0.205357142857143,NA,NA,0,NA,NA
"P3",0,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"P4",0.210762331838565,NA,NA,0.803571428571429,NA,NA,0,NA,NA
"P5",0.688270377733598,NA,NA,0.9375,NA,NA,0,NA,NA
"P6",0.356711003627569,NA,NA,0.830357142857143,NA,NA,0,NA,NA
"P7",0.0487134649013239,NA,NA,0.392857142857143,NA,NA,0,NA,NA
"P8",0.485294117647059,NA,NA,0.776785714285714,NA,NA,0,NA,NA
"P9",0.227402473834443,NA,NA,0.741071428571429,NA,NA,0,NA,NA
"P10",0.478098788443616,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"P11",0.317610062893082,NA,NA,0.723214285714286,NA,NA,0,NA,NA
"P12",0.228152492668622,NA,NA,0.580357142857143,NA,NA,0,NA,NA
"P13",0.492906731059463,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"P14",0.134283116095787,NA,NA,0.544642857142857,NA,NA,0,NA,NA
"P15",0.054919908466819,NA,NA,0.473214285714286,NA,NA,0,NA,NA
"P16",0.0597014925373135,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"P17",0.484116899618806,NA,NA,0.741071428571429,NA,NA,0,NA,NA
"P18",0.425641025641026,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"P19",0.208014142604596,NA,NA,0.571428571428571,NA,NA,0,NA,NA
"P20",0.179240749639596,NA,NA,0.455357142857143,NA,NA,0,NA,NA
"P21",0.34127582566732,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"P22",0.0038541357841686,NA,NA,0.464285714285714,NA,NA,0,NA,NA
"P23",0.0576356752208665,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"P24",0.0784810126582276,NA,NA,0.767857142857143,NA,NA,0,NA,NA
"P25",0.22859954083306,NA,NA,0.625,NA,NA,0,NA,NA
"P26",0.263157894736842,NA,NA,0.955357142857143,NA,NA,0,NA,NA
"P27",0.0922526817640049,NA,NA,0.696428571428571,NA,NA,0,NA,NA
