publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,The principal strength of our review is our exhaustive search strategy which included a detailed gray literature search. It yielded a large number of eligible studies and patients. We focused on patient important outcomes and we extracted and presented data on a wide range of important baseline factors.,fulltext,The principle strength of our review is our exhaustive search strategy which included a detailed gray literature search. It yielded a large number of eligible studies and patients. We focused on patient important outcomes and we extracted and presented data on a wide range of important baseline factors.,99.67105263157895
100,AMSTAR,The methodological quality of the included studies was assessed using the Newcastle-Ottawa quality assessment scale.,prompt,ic quality of the included studies assessed and documented? 'A priori' methods of assessment s,58.62068965517242
100,AMSTAR,Two authors initially screened titles and abstracts and then full text manuscripts were examined and 9 studies were finally eligible for inclusion. No additional studies were identified from the gray literature search or from searching included article reference lists.,fulltext,sed on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion. No additional studies were identified from the gray literature search or from searching included article reference lists.,88.10408921933086
100,AMSTAR,"At least two electronic sources should be searched. The report must include years and databases used (e.g., Central, EMBASE, and MEDLINE). Key words and/or MESH terms must be stated and where feasible the search strategy should be provided. All searches should be supplemented by consulting current contents, reviews, textbooks, specialized registers, or experts in the particular field of study, and by reviewing the references in the studies found.",prompt,"At least two electronic sources should be searched. The report must include years and databases used (e.g., Central, EMBASE, and MEDLINE). Key words and/or MESH terms must be stated and where feasible the search strategy should be provided. All searches should be supplemented by consulting current contents, reviews, textbooks, specialized registers, or experts in the particular field of study, and by reviewing the references in the studies found.",100.0
100,AMSTAR,No additional studies were identified from the gray literature search or from searching included article reference lists.,fulltext,No additional studies were identified from the gray literature search or from searching included article reference lists.,100.0
100,AMSTAR,"Characteristics of the 9 included studies8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",fulltext,"Characteristics of the 9 included studies 8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,AMSTAR,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendectomy in children.,fulltext,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendicectomy in children.,100.0
100,AMSTAR,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion. No additional studies were identified from the gray literature search or from searching included article reference lists.,fulltext,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion. No additional studies were identified from the gray literature search or from searching included article reference lists.,100.0
100,PRISMA,"Appendicitis is the most common pediatric surgical emergency.1 There are in excess of 40,000 cases in England annually1 and its incidence is about 9.4 cases per 10,000 patient years.2 In 2010, the Global Burden of Disease Study estimated that appendicitis causes 19 lost per 100,000 population and 21 disability adjusted life years per 100,000 population globally;3 therefore, it is important that we strive to improve the management of appendicitis.",fulltext,"ppendicitis is the most common pediatric surgical emergency. 1 There are in excess of 40,000 cases in England annually 1 and its incidence is about 9.4 cases per 10,000 patient years. 2 In 2010, the Global Burden of Disease Study estimated that appendicitis causes 19 years of life lost per 100,000 population and 21 disability adjusted life years per 100,000 population globally; 3 therefore, it is important that we strive to improve the management of appendicitis.",99.77777777777777
100,PRISMA,"The principal strength of our review is our exhaustive search strategy which included a detailed gray literature search. It yielded a large number of eligible studies and patients. We focused on patient important outcomes and we extracted and presented data on a wide range of important baseline factors. Regarding limitations, the main issue is the retrospective nature of most of the included studies. Only one involved prospective data collection.8 Furthermore, no randomized data were available and therefore our review is prone to biases and confounding.",fulltext,"The principle strength of our review is our exhaustive search strategy which included a detailed gray literature search. It yielded a large number of eligible studies and patients. We focused on patient important outcomes and we extracted and presented data on a wide range of important baseline factors. Regarding limitations, the main issue is the retrospective nature of most of the included studies. Only one involved prospective data collection. 8 Furthermore, no randomized data were available and therefore our review is prone to biases and confounding.",99.82110912343471
100,PRISMA,We wish to encourage future research through the use of large-scale prospective multicenter registries.,fulltext,We wish to encourage future research through the use of large-scale prospective multicenter registries.,100.0
100,PRISMA,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,fulltext,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,100.0
100,PRISMA,Further studies are needed.,fulltext,Further studies are needed.,100.0
100,PRISMA,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendectomy in children.,fulltext,The aim of this study is to assess the influence of surgeon specialization on outcomes following appendicectomy in children.,100.0
100,PRISMA,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion.,fulltext,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion.,100.0
100,PRISMA,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",fulltext,"Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay.",100.0
100,PRISMA,"Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet. Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay. The outcomes for the meta-analysis were rates of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay. Definitions and these outcomes were those specified in individual manuscripts.",fulltext,"Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet. Extracted data comprised details on the following variables: lead author, publication date, study design, inclusion and exclusion criteria, outcomes reported, whether there was a specified primary endpoint, main results, numbers and characteristics of patients, surgical approach, rate of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay. The outcomes for the metaanalysis were rates of negative appendiceal histology, wound infections, intra-abdominal collections, readmissions, mortality, and length of stay. Definitions and timeframes for these outcomes were those specified in individual manuscripts.",99.87046632124353
100,PRISMA,The methodological quality of the included studies was assessed using the Newcastle-Ottawa quality assessment scale.,prompt,ic quality of the included studies assessed and documented? 'A priori' methods of assessment s,58.62068965517242
100,PRISMA,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,PRISMA,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group.,fulltext,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer in this group.,100.0
100,PRISMA,Two authors searched Medline and Embase to identify relevant studies.,fulltext,Two authors searched Medline and Embase to identify relevant studies.,100.0
