"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.675232439565713,0.630488698414737,0.720351393734206,0.804587935429057,0.778249787595582,0.830926083262532,0,0,0
"A1",0.474356455099234,NA,NA,0.766355140186916,NA,NA,0,NA,NA
"A2",0.660444278514094,NA,NA,0.841121495327103,NA,NA,0,NA,NA
"A3",0.48921138056139,NA,NA,0.766355140186916,NA,NA,0,NA,NA
"A4",0.58732782369146,NA,NA,0.869158878504673,NA,NA,0,NA,NA
"A5",0.360114404576183,NA,NA,0.785046728971963,NA,NA,0,NA,NA
"A6",0.553132250580046,NA,NA,0.831775700934579,NA,NA,0,NA,NA
"A7",0.705841924398625,NA,NA,0.850467289719626,NA,NA,0,NA,NA
"A8",0.427960438385458,NA,NA,0.626168224299065,NA,NA,0,NA,NA
"A9",0.706396844452067,NA,NA,0.850467289719626,NA,NA,0,NA,NA
"A10",0.428156970529852,NA,NA,0.672897196261682,NA,NA,0,NA,NA
"A11",0,NA,NA,0.990654205607477,NA,NA,0,NA,NA
