"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.499913941175847,0.461834497245184,0.533542994328981,0.695050190377293,0.676367395316997,0.713040704371476,0,0,0
"P1",0.115702479338843,NA,NA,0.897196261682243,NA,NA,0,NA,NA
"P2",0.0285343709468223,NA,NA,0.214953271028037,NA,NA,0,NA,NA
"P3",0,NA,NA,0.981308411214953,NA,NA,0,NA,NA
"P4",0.0592318371124478,NA,NA,0.644859813084112,NA,NA,0,NA,NA
"P5",0.698591549295775,NA,NA,0.94392523364486,NA,NA,0,NA,NA
"P6",0.221329987452949,NA,NA,0.728971962616822,NA,NA,0,NA,NA
"P7",0.13290113452188,NA,NA,0.532710280373832,NA,NA,0,NA,NA
"P8",0.376967867155488,NA,NA,0.747663551401869,NA,NA,0,NA,NA
"P9",0.237076648841355,NA,NA,0.775700934579439,NA,NA,0,NA,NA
"P10",0.646250217504785,NA,NA,0.822429906542056,NA,NA,0,NA,NA
"P11",0.0973003374578177,NA,NA,0.439252336448598,NA,NA,0,NA,NA
"P12",0.495635474860335,NA,NA,0.747663551401869,NA,NA,0,NA,NA
"P13",0.340439193527674,NA,NA,0.551401869158878,NA,NA,0,NA,NA
"P14",0.608449767132402,NA,NA,0.794392523364486,NA,NA,0,NA,NA
"P15",0.346263142938335,NA,NA,0.598130841121495,NA,NA,0,NA,NA
"P16",0.0858812949640287,NA,NA,0.644859813084112,NA,NA,0,NA,NA
"P17",0.519489850907131,NA,NA,0.766355140186916,NA,NA,0,NA,NA
"P18",0.413069401383258,NA,NA,0.785046728971963,NA,NA,0,NA,NA
"P19",0.413543140028289,NA,NA,0.710280373831776,NA,NA,0,NA,NA
"P20",0.149387214309374,NA,NA,0.327102803738318,NA,NA,0,NA,NA
"P21",0.566309987029831,NA,NA,0.766355140186916,NA,NA,0,NA,NA
"P22",0.327353572523766,NA,NA,0.616822429906542,NA,NA,0,NA,NA
"P23",0.00197851893725265,NA,NA,0.691588785046729,NA,NA,0,NA,NA
"P24",0.132252027448534,NA,NA,0.757009345794392,NA,NA,0,NA,NA
"P25",0.143390855719623,NA,NA,0.579439252336449,NA,NA,0,NA,NA
"P26",0.122950819672131,NA,NA,0.906542056074766,NA,NA,0,NA,NA
"P27",0.430300096805421,NA,NA,0.794392523364486,NA,NA,0,NA,NA
