"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.785076747731612,0.731312180562078,0.833167041258514,0.866071428571429,0.833603896103896,0.896103896103896,0,0,0
"A1",0.741339491916859,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"A2",0.818647955741465,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"A3",0.595375722543353,NA,NA,0.955357142857143,NA,NA,0,NA,NA
"A4",0.717800503927672,NA,NA,0.848214285714286,NA,NA,0,NA,NA
"A5",0.680478195897297,NA,NA,0.8125,NA,NA,0,NA,NA
"A6",0.683883714366356,NA,NA,0.910714285714286,NA,NA,0,NA,NA
"A7",0.757247358439447,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"A8",0.599284436493739,NA,NA,0.75,NA,NA,0,NA,NA
"A9",0.719727512859725,NA,NA,0.839285714285714,NA,NA,0,NA,NA
"A10",0.761084869724211,NA,NA,0.875,NA,NA,0,NA,NA
"A11",0.695802469135802,NA,NA,0.803571428571429,NA,NA,0,NA,NA
