publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated.,fulltext,Two authors initially screened titles and abstracts and then full text manuscripts were evaluated.,100.0
100,AMSTAR,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,fulltext,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines.,100.0
100,AMSTAR,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,AMSTAR,"Characteristics of the 9 included studies8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",fulltext,"Characteristics of the 9 included studies8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,AMSTAR,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,100.0
100,AMSTAR,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,fulltext,Eligible studies were comparative and provided data on children who had appendicectomy while under the care of general or pediatric surgical teams.,100.0
100,AMSTAR,Two authors (DD and MM) independently searched Medline and EMBASE to identify relevant studies.,fulltext,2 authors (DD and MM) independently searched Medline and EMBASE ,66.31578947368422
100,AMSTAR,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
100,AMSTAR,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
101,AMSTAR,"A detailed review was undertaken of the techniques, pathology, risks of appendectomy, utility of the appendix, and incidental appendectomy in the treatment of specific pediatric medical conditions.",fulltext,"A detailed review was undertaken of the techniques, pathology, risks of appendectomy, utility of the appendix, and incidental appendectomy in the treatment of specific pediatric medical conditions.",100.0
101,AMSTAR,"A comprehensive literature search was performed, and retrieved results were reviewed for relevance to the topic.",fulltext,"A comprehensive literature search was performed, and retrieved results were reviewed for relevance to the topic.",100.0
102,AMSTAR,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",fulltext,"The authors conducted a systematic review of the pediatric and adult literature about MIA, focusing on the technique and indications.",100.0
102,AMSTAR,"Over the past 15 years, many studies have reported the use MIA for NB.",fulltext,"Over the past 15 years, many studies have reported the use MIA for NB.",100.0
102,AMSTAR,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions.",fulltext,"Based on an extensive review of the adult and pediatric literature, we attempted to answer the following questions.",100.0
103,AMSTAR,16 studies including 2262 LP cases and 20455 OP cases were eligible and included in this meta-analysis.,fulltext,16 studies including 2262 LP cases and 20455 OP cases were eligible and included in this meta-analysis.,100.0
