"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.899413684103192,0.870941311429295,0.926365917786304,0.938498131158682,0.920837718338704,0.955147808358818,0,0,0
"P1",0.662538699690402,NA,NA,0.990825688073395,NA,NA,0,NA,NA
"P2",0.890010090817356,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P3",NA,NA,NA,1,NA,NA,0,NA,NA
"P4",0.84733893557423,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P5",0.669553919445647,NA,NA,0.935779816513762,NA,NA,0,NA,NA
"P6",0.837676842889054,NA,NA,0.963302752293578,NA,NA,0,NA,NA
"P7",0.738106679481019,NA,NA,0.954128440366973,NA,NA,0,NA,NA
"P8",0.76677689165532,NA,NA,0.899082568807339,NA,NA,0,NA,NA
"P9",0.779946164199192,NA,NA,0.917431192660551,NA,NA,0,NA,NA
"P10",0.843165467625899,NA,NA,0.926605504587156,NA,NA,0,NA,NA
"P11",0.707627829002515,NA,NA,0.853211009174312,NA,NA,0,NA,NA
"P12",0.691218130311615,NA,NA,0.853211009174312,NA,NA,0,NA,NA
"P13",0.684286748732802,NA,NA,0.81651376146789,NA,NA,0,NA,NA
"P14",0.796261682242991,NA,NA,0.990825688073395,NA,NA,0,NA,NA
"P15",0.740476190476191,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P16",0.852503382949932,NA,NA,0.990825688073395,NA,NA,0,NA,NA
"P17",0.666739462764796,NA,NA,0.871559633027523,NA,NA,0,NA,NA
"P18",0.706564506108925,NA,NA,0.880733944954128,NA,NA,0,NA,NA
"P19",0.714238898902179,NA,NA,0.853211009174312,NA,NA,0,NA,NA
"P20",0.691305579156047,NA,NA,0.908256880733945,NA,NA,0,NA,NA
"P21",1,NA,NA,1,NA,NA,0,NA,NA
"P22",0.740476190476191,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P23",0.852503382949932,NA,NA,0.990825688073395,NA,NA,0,NA,NA
"P24",0.823624595469256,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P25",0.59053343350864,NA,NA,0.908256880733945,NA,NA,0,NA,NA
"P26",1,NA,NA,1,NA,NA,0,NA,NA
"P27",0.828346456692913,NA,NA,0.926605504587156,NA,NA,0,NA,NA
