"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","1","1","1","1","0","1","1","0","1","1","1","0","1","NA","0","NA","1","1","0","1","NA","0","NA","1","1","1","0"
"101","1","1","1","1","0","1","1","0","1","1","0","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"102","1","1","1","1","0","1","deferred","0","0","0","0","deferred","deferred","NA","NA","NA","0","1","0","deferred","NA","NA","NA","1","deferred","1","0"
"103","1","1","1","1","0","1","1","0","1","0","0","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"104","1","0","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","deferred","1","0","1","NA","NA","NA","1","1","1","0"
"105","1","1","1","0","0","deferred","1","0","0","0","0","0","0","NA","NA","NA","0","1","0","deferred","NA","NA","NA","1","deferred","1","0"
"106","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"107","1","1","1","1","0","1","1","0","1","1","deferred","deferred","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","1"
"108","1","1","1","1","0","1","1","1","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","1"
"110","1","0","1","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","1","0"
"111","1","1","1","1","NA","0","0","0","0","0","0","0","deferred","NA","NA","NA","0","0","0","deferred","NA","NA","NA","1","0","1","0"
"112","1","1","1","1","deferred","1","1","deferred","1","1","1","deferred","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"113","1","1","1","1","0","1","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","NA","NA","NA","0","0","1","0"
"114","1","1","1","1","0","1","1","1","1","1","deferred","1","deferred","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"115","1","1","1","1","deferred","1","1","1","1","1","deferred","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"116","1","1","1","1","0","1","1","deferred","1","1","1","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","deferred"
"117","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"118","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"119","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","1","1","NA","NA","NA","1","1","1","0"
"120","1","1","1","1","0","1","1","1","1","1","1","deferred","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"121","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"123","1","1","1","1","0","1","1","deferred","1","1","1","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"124","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"125","1","1","1","1","0","1","1","0","1","1","0","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","1","1","0"
"126","1","1","1","1","0","1","1","1","1","1","1","1","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","0"
"127","1","1","1","1","0","1","1","0","1","0","0","0","0","NA","NA","NA","1","0","0","1","NA","NA","NA","1","1","1","1"
"128","1","1","1","1","0","1","1","0","1","0","0","0","NA","NA","NA","NA","1","1","0","1","NA","NA","NA","1","deferred","1","0"
"129","1","1","1","1","0","1","1","0","1","1","0","0","1","NA","NA","NA","1","1","deferred","1","NA","NA","NA","1","1","1","1"
"130","1","1","1","1","NA","1","1","1","1","1","1","NA","NA","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","1","1","NA"
"131","1","1","1","1","0","1","1","deferred","deferred","deferred","deferred","0","deferred","NA","NA","NA","deferred","deferred","0","0","NA","NA","NA","1","1","1","0"
"132","1","0","1","1","0","0","1","0","0","0","0","0","0","NA","NA","NA","0","0","0","1","NA","NA","NA","0","0","1","0"
