"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.407015032211883,0.368231943329873,0.440908691610109,0.63846415222562,0.618756371049949,0.656804143706828,0,0,0
"P1",-0.0167910447761195,NA,NA,0.908256880733945,NA,NA,0,NA,NA
"P2",-0.0220138605788829,NA,NA,0.155963302752294,NA,NA,0,NA,NA
"P3",0,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P4",-0.0851769911504425,NA,NA,0.834862385321101,NA,NA,0,NA,NA
"P5",0.0991735537190082,NA,NA,0.81651376146789,NA,NA,0,NA,NA
"P6",0.178767123287671,NA,NA,0.798165137614679,NA,NA,0,NA,NA
"P7",0.023010033444816,NA,NA,0.385321100917431,NA,NA,0,NA,NA
"P8",0.116433308769344,NA,NA,0.596330275229358,NA,NA,0,NA,NA
"P9",0.107120352867045,NA,NA,0.761467889908257,NA,NA,0,NA,NA
"P10",0.234281700035125,NA,NA,0.63302752293578,NA,NA,0,NA,NA
"P11",0.0680916030534351,NA,NA,0.486238532110092,NA,NA,0,NA,NA
"P12",0.162397540983607,NA,NA,0.587155963302752,NA,NA,0,NA,NA
"P13",0.224960156920436,NA,NA,0.467889908256881,NA,NA,0,NA,NA
"P14",-0.0369430791184397,NA,NA,0.44954128440367,NA,NA,0,NA,NA
"P15",-0.0385816932208682,NA,NA,0.440366972477064,NA,NA,0,NA,NA
"P16",-0.0447284345047922,NA,NA,0.834862385321101,NA,NA,0,NA,NA
"P17",0.138339920948617,NA,NA,0.669724770642202,NA,NA,0,NA,NA
"P18",0.297277936962751,NA,NA,0.752293577981651,NA,NA,0,NA,NA
"P19",0.188297872340426,NA,NA,0.614678899082569,NA,NA,0,NA,NA
"P20",0.0923187365398421,NA,NA,0.467889908256881,NA,NA,0,NA,NA
"P21",-0.0203077899412978,NA,NA,0.458715596330275,NA,NA,0,NA,NA
"P22",-0.0399417852522639,NA,NA,0.458715596330275,NA,NA,0,NA,NA
"P23",-0.045335658238884,NA,NA,0.798165137614679,NA,NA,0,NA,NA
"P24",-0.0257214554579672,NA,NA,0.724770642201835,NA,NA,0,NA,NA
"P25",0.10041265474553,NA,NA,0.559633027522936,NA,NA,0,NA,NA
"P26",-0.0148975791433892,NA,NA,0.954128440366973,NA,NA,0,NA,NA
"P27",0.111598746081505,NA,NA,0.642201834862385,NA,NA,0,NA,NA
